P00055040A0000|181 183|FR
P01409581A0206|63 64|B
P01418272A1072|48 51|CEA
P01420363A0818|63 66|Fos
P01420363A0818|69 72|Jun
P01420363A0818|73 76|AP1
P01420363A0818|151 154|AP1
P01420579A0292|98 100|SN
P01420579A0292|110 111|1
P01447189T0000|53 62|RNK-Met-1
P01448107A0361|73 77|GCN4
P01452703A0782|160 163|per
P01452703A0782|237 240|per
P01457380A0000|118 121|ttk
P01459921A0000|241 242|1
P01464606A0344|35 36|1
P01468625A0282|28 32|HIS3
P01468625A0282|78 79|1
P01468625A0282|83 85|10
P01468625A0282|96 98|12
P01468625A1080|47 51|NSR1
P01509798A0520|64 66|AT
P01511950T0000|123 124|B
P01516829A0460|77 81|SNF2
P01516829A0460|83 87|SNF5
P01516829A0460|93 97|SNF6
P01518833A0397|53 54|A
P01524549A0241|135 137|GH
P01524549A0241|180 182|GH
P01526658A0454|107 108|B
P01531632A0000|129 133|NSR1
P01537845A0571|65 68|myb
P01542667A0125|18 27|IFN-gamma
P01542667A0125|183 192|IFN-gamma
P01544918A1240|223 226|SDS
P01545797A0587|105 106|C
P01547775A1024|206 210|ORF2
P01547942A0120|14 17|LAP
P01547942A0120|116 140|C/EBP-homologous protein
P01547942A0120|142 149|CHOP-10
P01547957A1083|167 171|CYP1
P01547957A1083|220 224|CYP3
P01547957A1083|295 298|PCR
P01551898A1084|138 142|LAPP
P01573270A0000|180 181|B
P01589576A0170|151 153|T2
P01607223A0000|139 142|dye
P01612085A0624|79 81|-1
P01612085A0624|157 159|-1
P01612085A0624|161 162|P
P01618256A0521|149 152|l-1
P01627828A0475|183 186|SmN
P01630455A0448|44 45|A
P01630455A0448|55 56|A
P01630455A0448|92 94|12
P01630455A0448|148 152|TATA
P01630455A0448|192 201|IL-1 beta
P01633816A0667|221 223|S1
P01644821A1259|68 71|CAT
P01644821A1259|229 233|PSG1
P01657249A1019|78 80|CA
P01658356T0000|58 59|C
P01658356T0000|75 78|env
P01659685T0000|70 72|Dd
P01659685T0000|73 76|ras
P01674817T0000|33 38|RNA15
P01674817T0000|139 144|RNA15
P01675424A0991|48 49|H
P01675424A0991|50 52|NR
P01675424A0991|84 86|NR
P01692135A0783|158 159|R
P01694525A0000|123 124|N
P01695322A0000|10 12|-1
P01701088A1335|75 79|AP-2
P01707800A0354|93 94|2
P01708774A0203|28 32|AP-1
P01711048T0000|83 89|COL1A2
P01721884A0962|101 102|H
P01721884A0962|104 111|RNase H
P01721884A0962|224 231|RNase H
P01721884A0962|249 252|Pol
P01721884A0962|269 270|P
P01721884A0962|297 298|A
P01721884A0962|303 304|D
P01721884A0962|312 319|RNase H
P01722319A0849|177 178|N
P01722319A0849|183 184|C
P01725547A0354|114 117|CBF
P01725547A0354|126 127|p
P01731107A0928|154 155|5
P01748194A0767|165 166|3
P01754381A0000|256 259|pol
P01762914A1218|91 92|5
P01765095A0680|138 142|CMD1
P01765266A0000|75 77|EF
P01765266A0000|77 79|-1
P01767899A0136|146 148|10
P01771593A1152|57 59|GD
P01771593A1152|92 95|PCD
P01774063A0161|179 183|Fshb
P01774063A0161|192 195|Ltk
P01774063A0161|201 204|B2M
P01774063A0161|231 232|2
P01779433A0694|220 221|3
P01779433A0694|329 330|3
P01788002T0001|34 35|B
P01808049A0262|26 30|term
P01822581A0533|143 145|10
P01826003A0694|116 117|3
P01826043A0431|160 163|AMP
P01826043A0431|221 222|C
P01826043A0431|240 243|Ca2
P01832152A0902|63 67|ORF2
P01833637A0531|182 187|HSP82
P01845899A0000|72 75|Rep
P01845899A0000|79 82|Rep
P01845899A0000|90 93|Rep
P01849509T0000|227 231|IST2
P01850096A0662|37 41|MyoD
P01850096A0662|46 49|E12
P01870194A0302|40 42|-1
P01870194A0302|44 46|IN
P01874195A0139|28 39|GH receptor
P01878755A0496|114 115|P
P01884998A1135|95 100|C/EBP
P01895370A0199|59 60|D
P01895370A0199|154 155|D
P01901405A0694|50 52|AT
P01901405A0694|53 56|BP2
P01901859A0000|8 11|Gal
P01901859A0000|17 18|1
P01901859A0000|36 37|1
P01906692A0321|36 38|PA
P01918070A0281|119 121|up
P01918070A0281|228 231|T3R
P01930470A0337|143 146|PTH
P01956491A0095|34 35|B
P01956491A0095|37 38|5
P01961996A0522|17 18|R
P01968224A0119|232 236|PCNA
P01968224A0119|299 300|C
P01982997A1104|151 154|Jun
P01982997A1104|202 205|Fos
P01982997A1104|210 213|Jun
P01982997A1104|214 215|B
P02002051T0000|15 16|2
P02023097A0000|44 46|-1
P02055484A0538|48 52|ATG1
P02055484A0538|60 64|ATG2
P02088781A0653|29 31|up
P02088781A0653|56 59|fog
P02094221A0247|58 59|h
P02102831A1282|89 91|CT
P02103140A1088|108 111|ABO
P02103140A1088|140 141|2
P02105497A1092|102 105|BiP
P02105497A1092|163 168|HSP70
P02106287A0478|32 33|6
P02113901A0000|116 117|2
P02113901A0000|151 153|O2
P02115118A0565|48 49|p
P02115572A1323|65 66|3
P02120707A0594|81 82|W
P02120707A0594|123 130|HLA-DRA
P02123820A0000|48 49|A
P02123820A0000|85 90|MAO-B
P02123820A0000|132 135|MAO
P02123877A1452|33 36|egr
P02123877A1452|36 38|-1
P02123877A1452|105 108|fos
P02123877A1452|109 110|B
P02123877A1452|115 117|-1
P02123877A1452|123 126|egr
P02124433A0235|112 115|MMC
P02124433A0235|118 119|5
P02124433A0235|154 155|B
P02124433A0235|167 170|MMC
P02124433A0235|173 174|5
P02124433A0235|190 193|PSK
P02124433A0235|228 229|C
P02124710A1624|54 57|Jun
P02124710A1624|72 76|AP-1
P02125153A0410|58 59|5
P02133731A1572|9 12|CBF
P02133731A1572|29 32|CBF
P02133731A1572|48 49|1
P02133731A1572|58 59|1
P02133731A1572|60 61|T
P02133731A1572|129 130|p
P02138707A0198|207 208|A
P02143186A0867|52 56|AHA2
P02143186A0867|86 87|5
P02143186A0867|136 137|C
P02151229A0000|130 132|CT
P02151229A0000|278 280|12
P02157141A0923|88 91|ori
P02157141A0923|133 134|T
P02158927A0000|121 125|UTR1
P02158927A0000|127 131|UTR3
P02158927A0000|133 137|OSM1
P02158927A0000|153 157|RAD7
P02163382A0169|129 130|3
P02163382A0169|134 135|1
P02167784A0109|71 73|O2
P02167784A0109|105 107|10
P02182323A0121|162 163|5
P02182618A0168|134 135|5
P02182618A0168|161 162|5
P02185140A0000|238 239|1
P02185140A0000|251 252|5
P02188096A0955|84 87|myb
P02199311A0620|40 41|1
P02199311A0620|41 43|-1
P02199311A0620|135 139|RET1
P02200736A1003|75 77|AP
P02220304A0501|115 117|MS
P02220304A0501|159 161|MS
P02227438A0492|145 146|A
P02233715A0914|72 76|IL-6
P02233715A0914|77 81|TATA
P02233715A0914|216 218|GR
P02237431A0833|76 77|3
P02237431A0833|86 87|T
P02237431A0833|88 95|alpha 2
P02247081A0223|116 121|VPS34
P02249872A1051|132 135|per
P02249872A1051|176 179|per
P02259795A0570|159 161|O2
P02269426A0428|178 181|Tat
P02289639A0989|119 120|p
P02291144A0493|72 73|H
P02291144A0493|74 75|2
P02320999A0606|200 202|-1
P02361812A1110|159 160|D
P02361812A1110|171 174|per
P02361812A1110|209 210|P
P02386485A0554|110 111|3
P02386485A0554|158 159|A
P02390538A0000|30 32|th
P02390538A0000|35 37|th
P02390538A0000|185 186|S
P02399053A0153|76 78|RA
P02399053A0153|122 124|RA
P02400457A0469|118 119|5
P02402678A0463|221 223|-1
P02402678A0463|224 225|g
P02402678A0463|257 258|2
P02402678A0463|259 260|g
P02403634A0788|243 244|1
P02403634A0788|360 363|cap
P02423533A1314|37 41|MAP2
P02423533A1314|113 117|MAP1
P02445751A0925|128 130|F1
P02445751A0925|131 137|ATPase
P02452313A0114|215 218|ASL
P02452313A0114|229 230|3
P02452313A0114|233 235|10
P02452313A0114|243 244|1
P02452313A0114|247 249|10
P02456827A0899|102 105|TEA
P02456827A0899|111 112|2
P02474356A0559|68 69|N
P02480419A0735|94 95|B
P02480419A0735|125 126|5
P02489032A0000|220 222|VL
P02496109A0754|348 351|IF1
P02496109A0754|355 358|L17
P02510242A0313|75 76|B
P02510242A0313|152 153|A
P02510242A0313|158 159|B
P02510242A0313|219 220|1
P02523800A1178|174 178|BAR1
P02536160A0518|43 44|5
P02536160A0518|105 108|CAT
P02536160A0518|129 131|TK
P02536160A0518|150 151|1
P02538656A0172|63 64|M
P02538656A0172|69 70|R
P02541251A1327|101 104|SP1
P02541251A1327|113 117|TATA
P02541251A1327|161 162|5
P02541251A1327|230 232|T1
P02555177A0488|90 94|COX1
P02555177A0488|147 151|COX3
P02555177A0488|179 183|COX1
P02555519A0798|130 131|H
P02555519A0798|172 173|D
P02555703T0000|154 159|c-myc
P02556264A0278|228 229|B
P02557217A0000|16 20|ACTH
P02557350A0632|44 46|sc
P02557350A0632|51 56|SRP54
P02557350A0632|93 98|SRP54
P02557350A0632|98 101|mam
P02562787A0637|47 51|CNBP
P02582918A0000|124 125|S
P02582918A0000|126 127|N
P02582918A0000|129 130|S
P02582918A0000|131 132|N
P02582918A0000|216 218|T1
P02582918A0000|220 222|T2
P02582918A0000|231 234|T12
P02595451T0000|52 53|p
P02631566A0151|220 221|1
P02634490A0186|134 137|ATB
P02637597A0362|148 150|C4
P02647918A0423|45 46|C
P02647918A0588|100 101|5
P02647918A0588|150 151|C
P02647918A0588|191 193|GH
P02647918A0588|217 218|1
P02647918A0588|332 334|GH
P02647918A0588|347 350|TRH
P02647918A0588|351 355|GnRH
P02667259A0331|21 24|per
P02677002A0205|111 112|C
P02677002A0205|151 152|C
P02677002A0205|153 154|P
P02689439A0402|94 95|3
P02691557A0273|147 150|PGE
P02708288A0621|99 101|-1
P02708353A1080|175 176|P
P02713994A0482|47 48|2
P02727909A0383|104 107|ADP
P02727909A0383|163 166|HLP
P02727909A0383|174 177|CHD
P02727909A0383|186 189|HLP
P02743842A0000|277 278|H
P02743981A0347|87 91|L10e
P02743981A0347|92 95|L12
P02761540A0873|46 48|FB
P02761540A0873|54 58|AP-1
P02772495A0641|78 80|AT
P02775136A1151|34 35|S
P02775136A1151|150 153|AMS
P02775136A1151|262 265|AMS
P02776742A0000|189 192|max
P02776742A0000|209 211|-1
P02776742A0000|215 217|-1
P02776742A0000|252 254|SU
P02776742A0000|349 351|FE
P02779752A0000|3 4|1
P02779752A0000|26 27|1
P02779752A0000|28 30|NP
P02779752A0000|97 98|5
P02779752A0000|190 191|5
P02779752A0000|192 195|HT1
P02797877A0475|105 106|6
P02800417A0332|132 133|p
P02805945A0000|178 179|2
P02805945A0000|303 304|1
P02805945A0000|312 313|C
P02805945A0000|343 345|-1
P02807780A0143|132 135|CIS
P02831556A0173|72 76|pain
P02834843A0000|124 127|C29
P02834843A0000|340 341|v
P02838319A0527|64 65|p
P02839488A1314|131 133|-1
P02839488A1314|194 195|2
P02844767A1022|155 157|IV
P02877124A0000|58 61|tap
P02877124A0000|110 112|H1
P02877124A0000|163 165|H1
P02877124A0000|219 221|H1
P02877124A0000|371 372|h
P02877124A0000|519 522|ash
P02880841A0313|89 92|TF1
P02880841A0313|267 269|F1
P02894789A0954|81 83|T1
P02900760A0073|243 244|3
P02914492A0183|164 166|dl
P02914492A0183|187 188|5
P02914492A0183|240 242|dl
P02928112T0000|62 64|A'
P02928376A0312|76 78|O2
P02941237A0160|149 150|A
P02949170A0184|187 191|SHBG
P02957125A0601|111 114|ANP
P02966671A0551|82 83|5
P02966671A0551|249 251|12
P02966671A0551|280 281|h
P02967496A0182|141 146|cpc-1
P02969819A0814|73 74|T
P02981840A0907|104 106|AC
P02993630A1190|153 154|A
P02993630A1190|155 157|12
P03001084A0406|97 100|cap
P03001084A0406|115 116|1
P03001084A0406|127 128|3
P03004364A0775|62 65|ADM
P03004364A0775|70 73|MMC
P03013477A0000|256 257|A
P03013477A0000|348 349|B
P03016506A0611|22 23|p
P03016506A0611|23 26|410
P03016506A0611|179 181|-1
P03016506A0611|223 224|C
P03025862A0860|84 85|3
P03025862A0860|139 140|A
P03035218T0000|18 21|p40
P03035218T0000|72 73|T
P03048024A0418|70 71|3
P03048024A0418|85 86|p
P03062370A0384|89 93|GCN4
P03076124A0496|140 143|HMG
P03098018A0139|89 91|A2
P03110794A0991|19 20|2
P03110794A0991|21 22|g
P03114188A0907|195 200|nodal
P03133250A0000|218 220|ET
P03159903A0352|113 114|N
P03181276A0422|72 73|1
P03181276A0422|74 75|h
P03185540T0000|148 153|TFIID
P03198525A0164|132 134|hd
P03198525A0164|134 136|-1
P03198525A0164|138 140|-1
P03198525A0164|155 158|MGA
P03198525A0164|168 171|MGA
P03198525A0164|177 178|1
P03198525A0164|200 202|hd
P03198525A0164|220 223|MGA
P03198525A0164|224 226|hd
P03209019A0662|152 153|2
P03209019A0662|184 187|per
P03228785A1047|167 169|up
P03228785A1047|189 190|3
P03228785A1047|193 194|2
P03228785A1047|196 197|p
P03228785A1047|249 251|AT
P03292082A0486|177 178|5
P03292082A0486|179 180|5
P03298134A0000|130 133|HCL
P03332022A1094|75 77|-1
P03332022A1094|217 218|N
P03332022A1094|253 254|C
P03340548A1018|80 83|Cd2
P03340548A1018|88 89|2
P03340548A1018|94 95|2
P03344812A0924|47 49|HR
P03344812A0924|212 214|BP
P03344812A0924|219 221|HR
P03344812A0924|354 356|BP
P03344812A0924|361 363|HR
P03346210A0000|177 180|EGF
P03372422A0558|40 42|Ar
P03395009A1750|243 246|T12
P03395009A1750|250 252|L1
P03395009A1750|279 281|L1
P03395009A1750|289 291|L2
P03417668A1233|155 158|Ca2
P03420324A0178|56 58|10
P03420324A0178|60 62|O2
P03420324A0178|77 79|O2
P03420324A0178|84 85|2
P03420324A0178|140 141|2
P03420324A0178|143 145|10
P03420324A0178|147 149|O2
P03420324A0178|164 166|O2
P03420324A0178|171 173|10
P03420324A0178|174 175|h
P03420324A0178|204 205|3
P03420324A0178|214 216|O2
P03443566A0675|87 89|CR
P03446332A0831|62 66|LHRH
P03567017A0000|132 133|2
P03568311A1361|147 148|r
P03570455A0433|127 129|-1
P03572706A0329|186 187|F
P03577670A0236|105 108|ASA
P03584426A0706|114 115|2
P03602261A0238|157 158|r
P03602261A0238|184 185|r
P03602261A0238|211 212|r
P03602261A0238|294 295|r
P03602261A0238|322 323|r
P03602261A0238|353 354|r
P03622423A0000|76 80|pigs
P03622423A0000|103 104|6
P03622423A0000|196 199|MIC
P03676054A0865|41 43|VT
P03700952A0273|100 102|al
P03710973A0817|139 140|P
P03712106A0000|116 120|term
P03732252A0556|71 72|r
P03732252A0556|82 83|P
P03732252A0556|115 118|max
P03732252A0556|120 121|r
P03732252A0556|270 273|run
P03732252A0556|331 333|AT
P03732252A0556|352 355|run
P03738919A0000|70 72|12
P03738919A0000|72 74|th
P03743702A0158|245 247|SD
P03743702A0158|267 268|2
P03743702A0158|289 290|2
P03743702A0158|311 312|2
P03743702A0158|337 338|2
P03757294A0414|58 60|10
P03771749A0465|93 94|B
P03779205A0459|168 169|5
P03795488A0487|88 90|PR
P03830147A0000|364 365|2
P03830147A0000|519 522|max
P03830147A0000|528 530|12
P03871298A0217|168 171|CAD
P03875231A0627|93 94|1
P03875231A0627|139 140|2
P03875231A0627|160 161|3
P03875231A0627|224 225|5
P03911702A0530|199 203|term
P03912247A0282|49 50|2
P03929486A0309|172 173|D
P03929486A0309|207 208|P
P03929486A0309|226 228|SR
P03929486A0309|239 241|SR
P03935797A0183|246 247|3
P03939317A0352|23 24|5
P03952387A0336|92 94|O2
P03952387A0336|117 118|2
P03963860A0137|62 64|-1
P03966687A0000|136 139|ago
P03978045A0857|103 104|1
P03999219A0463|87 88|2
P04002667A0181|149 150|2
P04032268A0358|58 60|EC
P04032268A0358|71 74|set
P04032268A0358|116 117|3
P04032268A0358|118 119|M
P04038454A0984|100 102|12
P04038454A0984|129 131|dl
P04038454A0984|131 133|-1
P04038454A0984|142 144|dl
P04038454A0984|144 146|-1
P04038454A0984|255 257|dl
P04038454A0984|257 259|-1
P04038454A0984|268 270|dl
P04038454A0984|270 272|-1
P04038702A0768|126 127|2
P04038702A0768|278 279|3
P04039109A0139|167 168|W
P04039109A0139|171 172|2
P04039744A0141|117 119|10
P04039744A0141|133 135|D3
P04066194A0163|30 32|P2
P04066194A0163|46 48|P2
P04066274A0265|134 135|3
P04084607A0663|36 37|T
P04084607A0663|38 40|12
P04084607A0663|59 61|O6
P04084607A0663|65 66|N
P04084607A0663|67 69|12
P04428800T0001|43 46|LAP
P04428800T0001|51 54|GPT
P04970918T0069|8 10|MS
P05555149T0001|56 57|S
P05749438T0001|71 74|HCL
P05749438T0001|76 78|CI
P06089575A0464|116 117|1
P06089575A0464|160 161|5
P06090458A0407|101 103|TK
P06095372A0435|50 51|2
P06095372A0435|57 58|h
P06096863T0000|135 139|TATA
P06111283T0032|42 45|Tyr
P06150069A0422|33 35|m2
P06150069A0422|47 48|6
P06151518A0000|142 144|12
P06158844A0000|29 31|Pf
P06158844A0000|139 143|pain
P06161823A0129|100 101|5
P06173860A0000|149 151|ST
P06185014A0642|73 74|1
P06208024A0168|56 64|RNase T1
P06230499A0128|198 199|1
P06230499A0128|338 342|term
P06259220A0000|170 174|term
P06259220A0464|34 38|term
P06286549A0000|9 12|S-2
P06286549A0000|14 15|3
P06290859A0426|36 38|12
P06290859A0426|47 48|6
P06319071A0173|209 212|AMP
P06319071A0173|245 246|g
P06321505A0401|41 45|TATA
P06321505A0401|151 153|S1
P06321505A0401|230 233|PTH
P06324089A0453|34 35|5
P06328504A0161|63 65|-1
P06328504A0161|138 141|PGK
P06336045A0261a|152 155|TRP
P06341139A0213|159 160|g
P06341139A0213|171 172|g
P06341139A0213|190 191|g
P06341139A0213|220 221|g
P06341139A0213|236 237|g
P06369355A0834|108 110|A2
P06369355A0834|136 140|trfA
P06426493A0331|198 200|-1
P06426493A0331|236 238|-1
P06479976A0386|222 223|P
P06487290A0000|193 195|10
P06517816A0388|26 27|p
P06517816A0388|61 62|C
P06517816A0388|68 70|HR
P06517816A0388|82 84|-1
P06517816A0388|102 103|p
P06517816A0388|128 129|g
P06517816A0388|138 139|h
P06517816A0388|139 141|-1
P06524761A0596|195 197|-1
P06594105A0560|58 61|per
P06615403A0718|64 66|10
P06634712A0557|104 106|CT
P06657559A0489|76 77|3
P06657559A0489|221 222|A
P06659982A0231|134 136|QS
P06659982A0231|233 235|PS
P06702643A0000|184 186|SA
P06726257A1179|47 48|5
P06726257A1179|49 52|HTP
P06726257A1179|70 73|LSD
P06726257A1179|288 290|AT
P06755468A0180|82 85|cob
P06784123A0771|33 34|3
P06816609A0639|104 107|CBF
P06817410A0982|93 94|A
P06837312A0000|167 168|3
P06837312A0000|187 189|D3
P07007591A0324|33 34|C
P07007591A0324|38 41|CPZ
P07007591A0324|132 135|CPZ
P07007591A0324|242 244|RT
P07007591A0324|250 252|RR
P07007591A0324|258 259|1
P07007591A0324|262 264|RR
P07007591A0324|276 278|RT
P07007591A0324|283 285|RR
P07007591A0324|327 330|CPZ
P07038684A1050|193 196|p60
P07038684A1050|233 236|p62
P07061350A0042|141 142|1
P07112320A0086|34 37|ADA
P07174437A0181|56 57|2
P07191804A0000|159 160|2
P07191804A0000|161 162|h
P07202919A0142|84 88|scar
P07299857A0294|88 90|KP
P07299857A0294|177 179|KP
P07299857A0294|180 183|T10
P07299857A0294|249 251|KP
P07299857A0294|332 334|KP
P07304905A0336|54 55|B
P07304905A0336|65 68|DPD
P07304905A0336|78 81|ACD
P07304905A0336|82 83|B
P07327097A0647|121 122|p
P07372433A0000|103 104|3
P07372433A0000|117 118|3
P07375864A0431|214 217|MAO
P07377954A0117|181 182|5
P07377954A0117|203 204|2
P07377954A0117|298 299|5
P07377954A0117|317 318|3
P07377954A0117|359 361|10
P07440430A1074|115 116|S
P07440430A1074|119 120|B
P07440430A1074|139 140|P
P07440430A1074|167 168|D
P07440430A1074|171 172|B
P07440430A1074|184 185|B
P07440430A1074|209 210|P
P07457931A0655|56 57|5
P07457931A0655|61 63|DA
P07461848A0230|150 151|3
P07461848A0230|190 191|3
P07473742A0187|67 71|GATA
P07478514A0237|37 40|myc
P07479004A0421|85 87|P2
P07479004A0421|92 94|P3
P07482069A0606|23 26|MTX
P07483276A0139|182 184|-1
P07483276A0139|231 233|-1
P07483285A0322|115 118|ras
P07487811A0000|146 148|-1
P07487811A0000|153 155|-1
P07487811A0000|198 200|10
P07487908A0230|145 147|AR
P07487908A0230|200 201|2
P07487908A0230|210 211|6
P07489502A0000|140 141|A
P07490079A0825|129 133|STEP
P07490278A0799|58 59|p
P07491111A0221|55 59|ACTH
P07491791A0263|111 112|5
P07494244A0335|26 29|YY1
P07494244A0335|73 76|fos
P07494244A0335|108 111|ATF
P07494244A0335|112 116|CREB
P07494293A0585|120 123|Lck
P07494293A0585|143 146|Lck
P07496400A0525|53 58|HMGR1
P07496400A0525|58 59|S
P07496400A0525|129 134|HMGR1
P07499252A0150|80 82|PI
P07499252A0150|83 84|3
P07499252A0150|171 173|PI
P07499252A0150|174 175|3
P07499421A0237|116 117|5
P07500953A0305|120 124|ADR1
P07501458A0578|19 24|C/EBP
P07501458A0578|47 50|EBP
P07501458A0578|52 55|LIP
P07501458A0578|60 67|CHOP-10
P07501458A0578|77 80|EBP
P07506253A0742|41 43|TK
P07508250A0537|122 123|p
P07508250A0537|138 139|1
P07510635A0479|18 20|C2
P07510635A0479|119 123|TATA
P07510635A0479|149 153|TATA
P07510635A0479|219 222|Pol
P07510635A0479|229 232|Pol
P07516466A1054|217 221|CREB
P07516466A1054|252 255|NIH
P07516466A1054|256 257|3
P07516469A1025|56 59|Src
P07516597A1017|203 204|T
P07519481A1275|21 24|pan
P07519481A1275|130 132|KL
P07519481A1275|187 190|kit
P07519606A1269|70 71|5
P07519606A1269|85 86|C
P07525843A0859|21 22|H
P07525843A0859|26 28|NP
P07525843A0859|53 54|3
P07525843A0859|67 68|H
P07525843A0859|72 74|NP
P07525843A0859|136 139|CTL
P07525843A0859|200 201|H
P07525843A0859|209 210|H
P07525843A0859|316 318|NP
P07525843A0859|319 322|CTL
P07525843A0859|330 331|H
P07525843A0859|368 369|H
P07525843A0859|401 403|NP
P07526609A0736|36 38|S4
P07526609A0736|40 41|3
P07526609A0736|46 48|S1
P07526609A0736|70 73|PKR
P07526609A0736|98 100|S1
P07526609A0736|112 113|3
P07526609A0736|122 124|S4
P07526609A0736|164 166|S4
P07528531A0904|173 176|CRP
P07528531A0904|189 190|P
P07534286A0842|120 123|lin
P07534297A0141|89 104|AP endonuclease
P07534297A0141|111 114|APE
P07534297A0141|158 161|CAT
P07537851A0000|56 62|VCAM-1
P07537851A0000|165 167|-1
P07537851A0000|206 215|TNF-alpha
P07540773A0576|22 25|MBP
P07540866A1069|66 69|MAP
P07540866A1069|104 105|A
P07540866A1069|151 153|F2
P07543684A1027|131 135|CFTR
P07548425A0000|234 236|S2
P07553942A0810|8 13|rps10
P07553942A0810|125 130|rps10
P07557276A0526|101 102|B
P07557387A0241|47 57|C/EBP beta
P07557387A0241|113 123|C/EBP beta
P07557387A0241|142 145|NIH
P07559555A0557|52 55|EBS
P07559640A1230|155 156|3
P07563090A0124|148 149|3
P07563090A0124|173 177|PPT1
P07563090A0124|206 209|pol
P07563090A0124|249 253|PPT2
P07565049A1032|157 161|term
P07565049A1032|210 211|g
P07565672A0798|60 65|cpc-1
P07565797A0116|42 43|5
P07565797A0116|48 50|10
P07565797A0116|76 80|CRY2
P07569770A0298|164 165|6
P07571766A0122|158 160|ST
P07588633A0362|26 29|fos
P07588633A0362|194 197|NIH
P07588633A0362|198 199|3
P07588633A0362|212 215|Mos
P07588777A1524|106 109|p42
P07588777A1524|118 121|p44
P07588777A1524|126 129|MAP
P07590268A0740|9 18|MAPKAPK-2
P07590283A0820|130 131|1
P07590283A0820|138 141|Pol
P07590283A0820|272 273|N
P07590283A0820|293 296|Pol
P07590283A0820|345 347|al
P07592072A0217|112 114|IF
P07592072A0217|163 165|F2
P07592658A0309|62 65|p50
P07592706A1465|24 26|HL
P07592790A1457|101 102|N
P07592946A0997|87 91|AP-1
P07592946A0997|101 105|AP-2
P07592946A0997|217 219|GC
P07592946A0997|248 251|CTF
P07592946A0997|252 255|NF1
P07592946A0997|263 266|Myb
P07592946A0997|288 290|-1
P07592946A0997|301 304|IL6
P07592946A0997|312 316|MyoD
P07595857A0521|112 115|PVA
P07595857A0521|156 160|PVS1
P07595857A0521|433 434|5
P07596287A0183|84 88|ORF5
P07596287A0183|93 97|ORF1
P07601078A1003|168 170|CI
P07601078A1003|198 200|OR
P07601078A1003|213 215|CI
P07603956A0115|41 42|3
P07607197A1048|73 74|P
P07609079A0387|36 39|T3R
P07609079A0387|107 108|N
P07609079A0387|118 119|A
P07609079A0387|120 121|B
