nfz8w8na,421f8341eae777852e0b4584e7221b39a0544518,CZI,"The Politics of Disease Epidemics: a Comparative Analysis of the SARS, Zika, and Ebola Outbreaks",10.1007/s40609-018-0123-y,,,cc-by,"Over the past few decades, disease outbreaks have become increasingly frequent and widespread. The epicenters of these outbreaks have differed, and could be linked to different economic contexts. Arguably, the responses to these outbreaks have been “political” and inherently burdensome to marginalized populations. Key lessons can be learned from exploring the narratives about the different epidemics in varying income settings. Based on a review of the published medical, social, and political literature, which was accessed using four electronic databases—PubMed, Sociological Abstracts, Scholars Portal, and Web of Science, the overall objective of this paper discuss scholars’ narratives on the “politics” of Ebola in a low-income setting, Zika virus in a middle-income setting, and SARS in a high-income setting. Various themes of the politics of epidemics were prominent in the literature. The narratives demonstrated the influence of power in whose narratives and what narratives are presented in the literature. While marginalized populations were reported to have borne the brunt of all disease outbreaks in the different contexts, the prevalence of their narratives within the reviewed literature was limited. Regardless of income setting, there is a need to give voice to the most marginalized communities during an epidemic. The experiences and narratives of those most vulnerable to an epidemic—specifically poor communities—need to be represented in the literature. This could contribute to mitigating some of the negative impact of the politics in epidemics.",2020,"Kapiriri, Lydia; Ross, Alison",Global Social Welfare,2890713974,#1136,True,comm_use_subset,https://doi.org/10.1007/s40609-018-0123-y
t6n95laz,c8973a511fb65247ed8f08c777512f17d5c4e977,PMC,Serum proteomics analysis and comparisons using iTRAQ in the progression of hepatitis B,10.3892/etm.2013.1310,PMC3820766,24223640,cc-by,"The aim of this study was to analyze the changes in serum protein levels in the progression of hepatitis B using isobaric tags for relative and absolute quantitation (iTRAQ) analysis, in addition to comparing the serum protein levels of patients with chronic hepatitis B (CHB), patients with hepatitis B virus-induced acute-on-chronic liver failure (HBV-induced ACLF) and normal individuals. Protein analysis was performed on 15 serum samples using iTRAQ. The study population included healthy controls (n=5), patients with CHB (n=5) and patients with HBV-induced ACLF (n=5). Western blotting was used to verify the results in an additional nine serum samples from healthy controls, patients with CHB and patients with HBV-induced ACLF (n=3, respectively). Using iTRAQ analysis, 16 different serum proteins with ≥1.5-fold differences in expression levels were identified in the patients with CHB and ACLF compared with the healthy controls. Five of those proteins, C-reactive protein precursor, hemoglobin β chain variant Hb S-Wake, apolipoprotein J precursor, platelet factor 4 precursor and vitronectin, which demonstrated the greatest differences in their expression levels and the most significant correlation with liver diseases, were subsequently verified using western blotting. The western blotting results were consistent with the results from the iTRAQ. Two of the five proteins are not classified by biological process, and the biological functions of all the proteins in HBV-induced ACLF remain unclear. This preliminary study demonstrated that a correlation between the expression of various serum proteins and the different pathogenetic conditions induced by HBV may exist. The analysis of a larger number of samples is required to identify potential protein biomarkers that may be involved in the pathogenesis and progression of hepatitis B.",2013-09-18,"PENG, LIANG; LIU, JING; LI, YANG-MEI; HUANG, ZHAN-LIAN; WANG, PEI-PEI; GU, YU-RONG; ZHENG, YU-BAO; GAO, ZHI-LIANG",Exp Ther Med,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820766/
bcwcjf01,e5526afbb4d770dabb8c34da47c1267ee3342959,PMC,Ultra-Deep Sequencing of Intra-host Rabies Virus Populations during Cross-species Transmission,10.1371/journal.pntd.0002555,PMC3836733,24278493,cc0,"One of the hurdles to understanding the role of viral quasispecies in RNA virus cross-species transmission (CST) events is the need to analyze a densely sampled outbreak using deep sequencing in order to measure the amount of mutation occurring on a small time scale. In 2009, the California Department of Public Health reported a dramatic increase (350) in the number of gray foxes infected with a rabies virus variant for which striped skunks serve as a reservoir host in Humboldt County. To better understand the evolution of rabies, deep-sequencing was applied to 40 unpassaged rabies virus samples from the Humboldt outbreak. For each sample, approximately 11 kb of the 12 kb genome was amplified and sequenced using the Illumina platform. Average coverage was 17,448 and this allowed characterization of the rabies virus population present in each sample at unprecedented depths. Phylogenetic analysis of the consensus sequence data demonstrated that samples clustered according to date (1995 vs. 2009) and geographic location (northern vs. southern). A single amino acid change in the G protein distinguished a subset of northern foxes from a haplotype present in both foxes and skunks, suggesting this mutation may have played a role in the observed increased transmission among foxes in this region. Deep-sequencing data indicated that many genetic changes associated with the CST event occurred prior to 2009 since several nonsynonymous mutations that were present in the consensus sequences of skunk and fox rabies samples obtained from 20032010 were present at the sub-consensus level (as rare variants in the viral population) in skunk and fox samples from 1995. These results suggest that analysis of rare variants within a viral population may yield clues to ancestral genomes and identify rare variants that have the potential to be selected for if environment conditions change.",2013-11-21,"Borucki, Monica K.; Chen-Harris, Haiyin; Lao, Victoria; Vanier, Gilda; Wadford, Debra A.; Messenger, Sharon; Allen, Jonathan E.",PLoS Negl Trop Dis,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3836733/
sxohecoi,5e0e39574ffd7d5f3dcdc97d0301507de50e5c54,PMC,The Neonatal Fc Receptor (FcRn) Enhances Human Immunodeficiency Virus Type 1 (HIV-1) Transcytosis across Epithelial Cells,10.1371/journal.ppat.1003776,PMC3836734,24278022,cc-by,"The mechanisms by which human immunodeficiency virus type 1 (HIV-1) crosses mucosal surfaces to establish infection are unknown. Acidic genital secretions of HIV-1-infected women contain HIV-1 likely coated by antibody. We found that the combination of acidic pH and Env-specific IgG, including that from cervicovaginal and seminal fluids of HIV-1-infected individuals, augmented transcytosis across epithelial cells as much as 20-fold compared with Env-specific IgG at neutral pH or non-specific IgG at either pH. Enhanced transcytosis was observed with clinical HIV-1 isolates, including transmitted/founder strains, and was eliminated in Fc neonatal receptor (FcRn)-knockdown epithelial cells. Non-neutralizing antibodies allowed similar or less transcytosis than neutralizing antibodies. However, the ratio of total:infectious virus was higher for neutralizing antibodies, indicating that they allowed transcytosis while blocking infectivity of transcytosed virus. Immunocytochemistry revealed abundant FcRn expression in columnar epithelia lining the human endocervix and penile urethra. Acidity and Env-specific IgG enhance transcytosis of virus across epithelial cells via FcRn and could facilitate translocation of virus to susceptible target cells following sexual exposure.",2013-11-21,"Gupta, Sandeep; Gach, Johannes S.; Becerra, Juan C.; Phan, Tran B.; Pudney, Jeffrey; Moldoveanu, Zina; Joseph, Sarah B.; Landucci, Gary; Supnet, Medalyn Jude; Ping, Li-Hua; Corti, Davide; Moldt, Brian; Hel, Zdenek; Lanzavecchia, Antonio; Ruprecht, Ruth M.; Burton, Dennis R.; Mestecky, Jiri; Anderson, Deborah J.; Forthal, Donald N.",PLoS Pathog,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3836734/
04q71md3,8d2f1769c1de3d813cf910561ff0401fb9d75121; ec5eb5ea6033d1a32e46cb874e3b87b9a700cd5a,PMC,Unifying Viral Genetics and Human Transportation Data to Predict the Global Transmission Dynamics of Human Influenza H3N2,10.1371/journal.ppat.1003932,PMC3930559,24586153,cc-by,"Information on global human movement patterns is central to spatial epidemiological models used to predict the behavior of influenza and other infectious diseases. Yet it remains difficult to test which modes of dispersal drive pathogen spread at various geographic scales using standard epidemiological data alone. Evolutionary analyses of pathogen genome sequences increasingly provide insights into the spatial dynamics of influenza viruses, but to date they have largely neglected the wealth of information on human mobility, mainly because no statistical framework exists within which viral gene sequences and empirical data on host movement can be combined. Here, we address this problem by applying a phylogeographic approach to elucidate the global spread of human influenza subtype H3N2 and assess its ability to predict the spatial spread of human influenza A viruses worldwide. Using a framework that estimates the migration history of human influenza while simultaneously testing and quantifying a range of potential predictive variables of spatial spread, we show that the global dynamics of influenza H3N2 are driven by air passenger flows, whereas at more local scales spread is also determined by processes that correlate with geographic distance. Our analyses further confirm a central role for mainland China and Southeast Asia in maintaining a source population for global influenza diversity. By comparing model output with the known pandemic expansion of H1N1 during 2009, we demonstrate that predictions of influenza spatial spread are most accurate when data on human mobility and viral evolution are integrated. In conclusion, the global dynamics of influenza viruses are best explained by combining human mobility data with the spatial information inherent in sampled viral genomes. The integrated approach introduced here offers great potential for epidemiological surveillance through phylogeographic reconstructions and for improving predictive models of disease control.",2014-02-20,"Lemey, Philippe; Rambaut, Andrew; Bedford, Trevor; Faria, Nuno; Bielejec, Filip; Baele, Guy; Russell, Colin A.; Smith, Derek J.; Pybus, Oliver G.; Brockmann, Dirk; Suchard, Marc A.",PLoS Pathog,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3930559/
me1ajoyb,4ff3cd099988eec4079249528fb8db645b3c9490,PMC,Hantavirus Immunology of Rodent Reservoirs: Current Status and Future Directions,10.3390/v6031317,PMC3970152,24638205,cc-by,"Hantaviruses are hosted by rodents, insectivores and bats. Several rodent-borne hantaviruses cause two diseases that share many features in humans, hemorrhagic fever with renal syndrome in Eurasia or hantavirus cardiopulmonary syndrome in the Americas. It is thought that the immune response plays a significant contributory role in these diseases. However, in reservoir hosts that have been closely examined, little or no pathology occurs and infection is persistent despite evidence of adaptive immune responses. Because most hantavirus reservoirs are not model organisms, it is difficult to conduct meaningful experiments that might shed light on how the viruses evade sterilizing immune responses and why immunopathology does not occur. Despite these limitations, recent advances in instrumentation and bioinformatics will have a dramatic impact on understanding reservoir host responses to hantaviruses by employing a systems biology approach to identify important pathways that mediate virus/reservoir relationships.",2014-03-14,"Schountz, Tony; Prescott, Joseph",Viruses,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3970152/
i08zc62d,051cf89045450e5eff3fc9ba4fdc518fe1d623b8,PMC,Structural basis of sialidase in complex with geranylated flavonoids as potent natural inhibitors,10.1107/s1399004714002971,PMC4014123,24816104,cc-by,"Sialidase catalyzes the removal of a terminal sialic acid from glycoconjugates and plays a pivotal role in nutrition, cellular interactions and pathogenesis mediating various infectious diseases including cholera, influenza and sepsis. An array of antiviral sialidase agents have been developed and are commercially available, such as zanamivir and oseltamivir for treating influenza. However, the development of bacterial sialidase inhibitors has been much less successful. Here, natural polyphenolic geranylated flavonoids which show significant inhibitory effects against Cp-NanI, a sialidase from Clostridium perfringens, are reported. This bacterium causes various gastrointestinal diseases. The crystal structure of the Cp-NanI catalytic domain in complex with the best inhibitor, diplacone, is also presented. This structure explains how diplacone generates a stable enzyme–inhibitor complex. These results provide a structural framework for understanding the interaction between sialidase and natural flavonoids, which are promising scaffolds on which to discover new anti-sialidase agents.",2014-04-30,"Lee, Youngjin; Ryu, Young Bae; Youn, Hyung-Seop; Cho, Jung Keun; Kim, Young Min; Park, Ji-Young; Lee, Woo Song; Park, Ki Hun; Eom, Soo Hyun",Acta Crystallogr D Biol Crystallogr,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014123/
skavefji,1ab0742b23affe5d2f9a5adc6b98e3f89defd930,PMC,Usefulness of Cellular Analysis of Bronchoalveolar Lavage Fluid for Predicting the Etiology of Pneumonia in Critically Ill Patients,10.1371/journal.pone.0097346,PMC4019586,24824328,cc-by,"BACKGROUND: The usefulness of bronchoalveolar lavage (BAL) fluid cellular analysis in pneumonia has not been adequately evaluated. This study investigated the ability of cellular analysis of BAL fluid to differentially diagnose bacterial pneumonia from viral pneumonia in adult patients who are admitted to intensive care unit. METHODS: BAL fluid cellular analysis was evaluated in 47 adult patients who underwent bronchoscopic BAL following less than 24 hours of antimicrobial agent exposure. The abilities of BAL fluid total white blood cell (WBC) counts and differential cell counts to differentiate between bacterial and viral pneumonia were evaluated using receiver operating characteristic (ROC) curve analysis. RESULTS: Bacterial pneumonia (n = 24) and viral pneumonia (n = 23) were frequently associated with neutrophilic pleocytosis in BAL fluid. BAL fluid median total WBC count (2,815/µL vs. 300/µL, P<0.001) and percentage of neutrophils (80.5% vs. 54.0%, P = 0.02) were significantly higher in the bacterial pneumonia group than in the viral pneumonia group. In ROC curve analysis, BAL fluid total WBC count showed the best discrimination, with an area under the curve of 0.855 (95% CI, 0.750–0.960). BAL fluid total WBC count ≥510/µL had a sensitivity of 83.3%, specificity of 78.3%, positive likelihood ratio (PLR) of 3.83, and negative likelihood ratio (NLR) of 0.21. When analyzed in combination with serum procalcitonin or C-reactive protein, sensitivity was 95.8%, specificity was 95.7%, PLR was 8.63, and NLR was 0.07. BAL fluid total WBC count ≥510/µL was an independent predictor of bacterial pneumonia with an adjusted odds ratio of 13.5 in multiple logistic regression analysis. CONCLUSIONS: Cellular analysis of BAL fluid can aid early differential diagnosis of bacterial pneumonia from viral pneumonia in critically ill patients.",2014-05-13,"Choi, Sang-Ho; Hong, Sang-Bum; Hong, Hyo-Lim; Kim, Sung-Han; Huh, Jin Won; Sung, Heungsup; Lee, Sang-Oh; Kim, Mi-Na; Jeong, Jin-Yong; Lim, Chae-Man; Kim, Yang Soo; Woo, Jun Hee; Koh, Younsuck",PLoS One,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4019586/
zl4abcn0,cbc8e184157e7543e44f09f2be3999131db359e2,PMC,Comparative Analysis of Lycorine in Wild Plant and Callus Culture Samples of Hymenocallis littoralis by HPLC-UV Method,10.1155/2014/408306,PMC4033353,24895650,cc-by,"The Hymenocallis littoralis, an ornamental and medicinal plant, had been traditionally used for wound healing. In the present study, an analytical method using HPLC with ultraviolet detection was developed for the quantification of lycorine in the extracts of different parts of wild plant and tissue culture samples of H. littoralis. The separation was achieved using a reversed-phase column. The method was found to be accurate, repeatable, and sensitive for the quantification of minute amount of lycorine present in the samples. The highest lycorine content was found in the bulb extract (2.54 ± 0.02 μg/mg) whereas the least was in the root extract (0.71 ± 0.02 μg/mg) of the wild plants. Few callus culture samples had high content of lycorine, comparable to that of wild plants. The results showed that plant growth regulators, 2,4-dichlorophenoxyacetic acid (2,4-D) alone at 4.5 μM (2.58 ± 0.38 μg/mg) or a combination of 2,4-D at 9.00 μM with 4.5 μM of 6-benzylaminopurine (BAP), were the optimum concentrations for the production of high lycorine (2.45 ± 0.15 μg/mg) content in callus culture. The present analytical method could be of value for routine quantification of lycorine in the tissue culture production and standardization of the raw material or extracts of H. littoralis.",2014-05-06,"Subramaniam, Sreeramanan; Sundarasekar, Jeevandran; Sahgal, Geethaa; Murugaiyah, Vikneswaran",ScientificWorldJournal,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033353/
leaj1t3k,46c2eb2186aa09c3963227ce0195a881ac26de7d,PMC,Cell-Penetrating Peptides for Antiviral Drug Development,10.3390/ph3030448,PMC4033964,27713263,cc-by,"Viral diseases affect hundreds of millions of people worldwide, and the few available drugs to treat these diseases often come with limitations. The key obstacle to the development of new antiviral agents is their delivery into infected cells in vivo. Cell-penetrating peptides (CPPs) are short peptides that can cross the cellular lipid bilayer with the remarkable capability to shuttle conjugated cargoes into cells. CPPs have been successfully utilized to enhance the cellular uptake and intracellular trafficking of antiviral molecules, and thereby increase the inhibitory activity of potential antiviral proteins and oligonucleotide analogues, both in cultured cells and in animal models. This review will address the notable findings of these studies, highlighting some promising results and discussing the challenges CPP technology has to overcome for further clinical applications.",2010-03-02,"Delcroix, Melaine; Riley, Lee W.",Pharmaceuticals (Basel),,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033964/
c3psvuzp,d0bace106b5562f5e1cf5b124331f9c526d46d21,PMC,Rapid Evolution of PARP Genes Suggests a Broad Role for ADP-Ribosylation in Host-Virus Conflicts,10.1371/journal.pgen.1004403,PMC4038475,24875882,cc-by,"Post-translational protein modifications such as phosphorylation and ubiquitinylation are common molecular targets of conflict between viruses and their hosts. However, the role of other post-translational modifications, such as ADP-ribosylation, in host-virus interactions is less well characterized. ADP-ribosylation is carried out by proteins encoded by the PARP (also called ARTD) gene family. The majority of the 17 human PARP genes are poorly characterized. However, one PARP protein, PARP13/ZAP, has broad antiviral activity and has evolved under positive (diversifying) selection in primates. Such evolution is typical of domains that are locked in antagonistic ‘arms races’ with viral factors. To identify additional PARP genes that may be involved in host-virus interactions, we performed evolutionary analyses on all primate PARP genes to search for signatures of rapid evolution. Contrary to expectations that most PARP genes are involved in ‘housekeeping’ functions, we found that nearly one-third of PARP genes are evolving under strong recurrent positive selection. We identified a >300 amino acid disordered region of PARP4, a component of cytoplasmic vault structures, to be rapidly evolving in several mammalian lineages, suggesting this region serves as an important host-pathogen specificity interface. We also found positive selection of PARP9, 14 and 15, the only three human genes that contain both PARP domains and macrodomains. Macrodomains uniquely recognize, and in some cases can reverse, protein mono-ADP-ribosylation, and we observed strong signatures of recurrent positive selection throughout the macro-PARP macrodomains. Furthermore, PARP14 and PARP15 have undergone repeated rounds of gene birth and loss during vertebrate evolution, consistent with recurrent gene innovation. Together with previous studies that implicated several PARPs in immunity, as well as those that demonstrated a role for virally encoded macrodomains in host immune evasion, our evolutionary analyses suggest that addition, recognition and removal of ADP-ribosylation is a critical, underappreciated currency in host-virus conflicts.",2014-05-29,"Daugherty, Matthew D.; Young, Janet M.; Kerns, Julie A.; Malik, Harmit S.",PLoS Genet,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4038475/
u14tj0so,c6024a8ca787b4af96d36292b86479031416a0b6,PMC,A fast and robust iterative algorithm for prediction of RNA pseudoknotted secondary structures,10.1186/1471-2105-15-147,PMC4064103,24884954,cc-by,"BACKGROUND: Improving accuracy and efficiency of computational methods that predict pseudoknotted RNA secondary structures is an ongoing challenge. Existing methods based on free energy minimization tend to be very slow and are limited in the types of pseudoknots that they can predict. Incorporating known structural information can improve prediction accuracy; however, there are not many methods for prediction of pseudoknotted structures that can incorporate structural information as input. There is even less understanding of the relative robustness of these methods with respect to partial information. RESULTS: We present a new method, Iterative HFold, for pseudoknotted RNA secondary structure prediction. Iterative HFold takes as input a pseudoknot-free structure, and produces a possibly pseudoknotted structure whose energy is at least as low as that of any (density-2) pseudoknotted structure containing the input structure. Iterative HFold leverages strengths of earlier methods, namely the fast running time of HFold, a method that is based on the hierarchical folding hypothesis, and the energy parameters of HotKnots V2.0. Our experimental evaluation on a large data set shows that Iterative HFold is robust with respect to partial information, with average accuracy on pseudoknotted structures steadily increasing from roughly 54% to 79% as the user provides up to 40% of the input structure. Iterative HFold is much faster than HotKnots V2.0, while having comparable accuracy. Iterative HFold also has significantly better accuracy than IPknot on our HK-PK and IP-pk168 data sets. CONCLUSIONS: Iterative HFold is a robust method for prediction of pseudoknotted RNA secondary structures, whose accuracy with more than 5% information about true pseudoknot-free structures is better than that of IPknot, and with about 35% information about true pseudoknot-free structures compares well with that of HotKnots V2.0 while being significantly faster. Iterative HFold and all data used in this work are freely available at http://www.cs.ubc.ca/~hjabbari/software.php.",2014-05-18,"Jabbari, Hosna; Condon, Anne",BMC Bioinformatics,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064103/
i7v9l6ii,9c437ea3972c987ed041833f65535b2d4300e095; 1434efe4d841738948735807bd1d1f1e9a36225e,PMC,Difference in immune response in vaccinated and unvaccinated Swedish individuals after the 2009 influenza pandemic,10.1186/1471-2334-14-319,PMC4067073,24916787,cc-by,"BACKGROUND: Previous exposures to flu and subsequent immune responses may impact on 2009/2010 pandemic flu vaccine responses and clinical symptoms upon infection with the 2009 pandemic H1N1 influenza strain. Qualitative and quantitative differences in humoral and cellular immune responses associated with the flu vaccination in 2009/2010 (pandemic H1N1 vaccine) and natural infection have not yet been described in detail. We designed a longitudinal study to examine influenza- (flu-) specific immune responses and the association between pre-existing flu responses, symptoms of influenza-like illness (ILI), impact of pandemic flu infection, and pandemic flu vaccination in a cohort of 2,040 individuals in Sweden in 2009–2010. METHODS: Cellular flu-specific immune responses were assessed by whole-blood antigen stimulation assay, and humoral responses by a single radial hemolysis test. RESULTS: Previous seasonal flu vaccination was associated with significantly lower flu-specific IFN-γ responses (using a whole-blood assay) at study entry. Pandemic flu vaccination induced long-lived T-cell responses (measured by IFN-γ production) to influenza A strains, influenza B strains, and the matrix (M1) antigen. In contrast, individuals with pandemic flu infection (PCR positive) exhibited increased flu-specific T-cell responses shortly after onset of ILI symptoms but the immune response decreased after the flu season (spring 2010). We identified non-pandemic-flu vaccinated participants without ILI symptoms who showed an IFN-γ production profile similar to pandemic-flu infected participants, suggesting exposure without experiencing clinical symptoms. CONCLUSIONS: Strong and long-lived flu-M1 specific immune responses, defined by IFN-γ production, in individuals after vaccination suggest that M1-responses may contribute to protective cellular immune responses. Silent flu infections appeared to be frequent in 2009/2010. The pandemic flu vaccine induced qualitatively and quantitatively different humoral and cellular immune responses as compared to infection with the 2009 H1N1 pandemic H1N1 influenza strain.",2014-06-11,"Magalhaes, Isabelle; Eriksson, Mikael; Linde, Charlotte; Muhammad, Rashid; Rane, Lalit; Ambati, Aditya; Axelsson-Robertson, Rebecca; Khalaj, Bahareh; Alvarez-Corrales, Nancy; Lapini, Giulia; Montomoli, Emanuele; Linde, Annika; Pedersen, Nancy L; Maeurer, Markus",BMC Infect Dis,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4067073/
x665uk1d,fa16032841f11e0924b539d21444915e3bcc9a0e,PMC,A Nucleic-Acid Hydrolyzing Single Chain Antibody Confers Resistance to DNA Virus Infection in HeLa Cells and C57BL/6 Mice,10.1371/journal.ppat.1004208,PMC4072776,24968358,cc-by,"Viral protein neutralizing antibodies have been developed but they are limited only to the targeted virus and are often susceptible to antigenic drift. Here, we present an alternative strategy for creating virus-resistant cells and animals by ectopic expression of a nucleic acid hydrolyzing catalytic 3D8 single chain variable fragment (scFv), which has both DNase and RNase activities. HeLa cells (SCH7072) expressing 3D8 scFv acquired significant resistance to DNA viruses. Virus challenging with Herpes simplex virus (HSV) in 3D8 scFv transgenic cells and fluorescence resonance energy transfer (FRET) assay based on direct DNA cleavage analysis revealed that the induced resistance in HeLa cells was acquired by the nucleic acid hydrolyzing catalytic activity of 3D8 scFv. In addition, pseudorabies virus (PRV) infection in WT C57BL/6 mice was lethal, whereas transgenic mice (STG90) that expressed high levels of 3D8 scFv mRNA in liver, muscle, and brain showed a 56% survival rate 5 days after PRV intramuscular infection. The antiviral effects against DNA viruses conferred by 3D8 scFv expression in HeLa cells as well as an in vivo mouse system can be attributed to the nuclease activity that inhibits viral genome DNA replication in the nucleus and/or viral mRNA translation in the cytoplasm. Our results demonstrate that the nucleic-acid hydrolyzing activity of 3D8 scFv confers viral resistance to DNA viruses in vitro in HeLa cells and in an in vivo mouse system.",2014-06-26,"Lee, Gunsup; Yu, Jaelim; Cho, Seungchan; Byun, Sung-June; Kim, Dae Hyun; Lee, Taek-Kyun; Kwon, Myung-Hee; Lee, Sukchan",PLoS Pathog,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4072776/
rn84e3ur,a4e41dcddb7c0eb538defbf19602371176f1f97c,PMC,Effect of human movement on airborne disease transmission in an airplane cabin: study using numerical modeling and quantitative risk analysis,10.1186/1471-2334-14-434,PMC4133625,25098254,cc-by,"BACKGROUND: Airborne transmission of respiratory infectious disease in indoor environment (e.g. airplane cabin, conference room, hospital, isolated room and inpatient ward) may cause outbreaks of infectious diseases, which may lead to many infection cases and significantly influences on the public health. This issue has received more and more attentions from academics. This work investigates the influence of human movement on the airborne transmission of respiratory infectious diseases in an airplane cabin by using an accurate human model in numerical simulation and comparing the influences of different human movement behaviors on disease transmission. METHODS: The Eulerian–Lagrangian approach is adopted to simulate the dispersion and deposition of the expiratory aerosols. The dose–response model is used to assess the infection risks of the occupants. The likelihood analysis is performed as a hypothesis test on the input parameters and different human movement pattern assumptions. An in-flight SARS outbreak case is used for investigation. A moving person with different moving speeds is simulated to represent the movement behaviors. A digital human model was used to represent the detailed profile of the occupants, which was obtained by scanning a real thermal manikin using the 3D laser scanning system. RESULTS: The analysis results indicate that human movement can strengthen the downward transport of the aerosols, significantly reduce the overall deposition and removal rate of the suspended aerosols and increase the average infection risk in the cabin. The likelihood estimation result shows that the risk assessment results better fit the outcome of the outbreak case when the movements of the seated passengers are considered. The intake fraction of the moving person is significantly higher than most of the seated passengers. CONCLUSIONS: The infection risk distribution in the airplane cabin highly depends on the movement behaviors of the passengers and the index patient. The walking activities of the crew members and the seated passengers can significantly increase their personal infection risks. Taking the influence of the movement of the seated passengers and the index patient into consideration is necessary and important. For future studies, investigations on the behaviors characteristics of the passengers during flight will be useful and helpful for infection control. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1186/1471-2334-14-434) contains supplementary material, which is available to authorized users.",2014-08-06,"Han, Zhuyang; Sze To, Gin Nam; Fu, Sau Chung; Chao, Christopher Yu-Hang; Weng, Wenguo; Huang, Quanyi",BMC Infect Dis,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4133625/
987w6ypg,4ef4cb3ed4814b1afceebb92b410e53fd5646f4e,PMC,IFITM proteins are incorporated onto HIV-1 virion particles and negatively imprint their infectivity,10.1186/s12977-014-0103-y,PMC4251951,25422070,cc-by,"BACKGROUND: Interferon induced transmembrane proteins 1, 2 and 3 (IFITMs) belong to a family of highly related antiviral factors that have been shown to interfere with a large spectrum of viruses including Filoviruses, Coronaviruses, Influenza virus, Dengue virus and HIV-1. In all these cases, the reported mechanism of antiviral inhibition indicates that the pool of IFITM proteins present in target cells blocks incoming viral particles in endosomal vesicles where they are subsequently degraded. RESULTS: In this study, we describe an additional mechanism through which IFITMs block HIV-1. In virus-producing cells, IFITMs coalesce with forming virions and are incorporated into viral particles. Expression of IFITMs during virion assembly leads to the production of virion particles of decreased infectivity that are mostly affected during entry in target cells. This mechanism of inhibition is exerted against different retroviruses and does not seem to be dependent on the type of Envelope present on retroviral particles. CONCLUSIONS: The results described here identify a novel mechanism through which IFITMs affect HIV-1 infectivity during the late phases of the viral life cycle. Put in the context of data obtained by other laboratories, these results indicate that IFITMs can target HIV at two distinct moments of its life cycle, in target cells as well as in virus-producing cells. These results raise the possibility that IFITMs could similarly affect distinct steps of the life cycle of a number of other viruses. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1186/s12977-014-0103-y) contains supplementary material, which is available to authorized users.",2014-11-25,"Tartour, Kevin; Appourchaux, Romain; Gaillard, Julien; Nguyen, Xuan-Nhi; Durand, Stéphanie; Turpin, Jocelyn; Beaumont, Elodie; Roch, Emmanuelle; Berger, Gregory; Mahieux, Renaud; Brand, Denys; Roingeard, Philippe; Cimarelli, Andrea",Retrovirology,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4251951/
98ljj0cy,9146df7c1faca31203b1e903f59662067faebb69,PMC,Sparse evidence of MERS-CoV infection among animal workers living in Southern Saudi Arabia during 2012,10.1111/irv.12287,PMC4353318,25470665,cc-by,Middle East respiratory syndrome coronavirus (MERS-CoV) is an emerging viral pathogen that primarily causes respiratory illness. We conducted a seroprevalence study of banked human serum samples collected in 2012 from Southern Saudi Arabia. Sera from 300 animal workers (17% with daily camel exposure) and 50 non-animal-exposed controls were examined for serological evidence of MERS-CoV infection by a pseudoparticle MERS-CoV spike protein neutralization assay. None of the sera reproducibly neutralized the MERS-CoV-pseudotyped lentiviral vector. These data suggest that serological evidence of zoonotic transmission of MERS-CoV was not common among animal workers in Southern Saudi Arabia during July 2012.,2014-12-03,"Memish, Ziad A; Alsahly, Ahmad; Masri, Malak al; Heil, Gary L; Anderson, Benjamin D; Peiris, Malik; Khan, Salah Uddin; Gray, Gregory C",Influenza Other Respir Viruses,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4353318/
