P00030183T0000|37 43|HLA-B5
P00753237A0000|259 260|C
P00753237A0000|353 356|can
P00753237A0000|377 378|D
P00753237A0000|451 455|ends
P00753237A0000|471 475|arcs
P00757244A0000|66 68|in
P00767155T0001|26 28|in
P00799988A0554|16 17|a
P00799988A0554|52 53|a
P00806295A0193|85 87|in
P00818380A0239|129 131|in
P00830568A0000|104 106|in
P00830568A0000|123 125|in
P00830568A0000|190 192|BI
P00830568A0000|225 228|BII
P00830568A0000|235 237|in
P00830568A0000|287 288|V
P00830568A0000|289 290|P
P00837811A0675|74 88|gamma globulin
P00838152A0863|82 83|C
P00838152A0863|91 92|a
P00838152A0863|124 126|in
P00838152A0863|174 176|in
P00838152A0863|200 201|a
P00838152A0863|256 258|in
P00839378A0649|20 22|in
P00839378A0649|58 60|in
P00868301A0043|95 96|a
P00868903A0000|74 76|in
P00891370A0000|133 136|arm
P00891370A0000|137 141|vein
P00891370A0000|159 161|in
P00909114A0000|101 103|in
P00909114A0000|104 108|rats
P00909114A0000|117 118|a
P00909114A0000|162 164|in
P00917572T0001|17 20|TSH
P00917572T0001|70 72|in
P00920381T0000|107 111|rats
P00926604A0504|38 39|a
P00926604A0504|62 66|beta
P00926604A0504|201 202|a
P00929418T0001|58 60|in
P00932817A0499|148 151|mTc
P00933251T0000|43 44|a
P00935526A0000|126 129|gas
P00962277T0000|46 47|a
P00970839A0118|63 65|in
P00970839A0118|92 94|in
P00975314T0001|23 24|a
P00975314T0001|63 64|a
P00986800A0325|95 96|g
P00986800A0325|153 155|in
P01021091T0000|89 140|2--phenylalanine-8-lysine vasopressin (Octapressin)
P01050144A0297|29 31|in
P01050144A0297|118 120|in
P01064124A0560|11 12|a
P01064124A0560|69 71|in
P01078982A0227|81 110|antilymphocyte globulin (ALG)
P01078982A0227|127 130|ALG
P01078982A0227|158 159|a
P01081904A0198|45 47|in
P01082726A0248|48 50|in
P01083375T0000|0 19|Alpha-1 antitrypsin
P01093845A0208|44 46|in
P01113908A0475|28 30|in
P01113908A0475|37 48|transferrin
P01116466A0185|29 43|thromboplastin
P01116466A0185|50 58|thrombin
P01116466A0185|80 86|fibrin
P01116466A0185|109 144|clotting factors II, V, VIII, IX, X
P01119586A0337|116 118|in
P01125117A0183|127 129|in
P01130186A0568|70 72|in
P01130531A0224|76 78|in
P01130531A0224|79 82|CBF
P01130531A0224|84 85|a
P01138330A0204|63 64|N
P01138330A0204|87 90|NaC
P01168607A0672|136 137|A
P01168607A0672|142 143|E
P01170143A0247|97 99|in
P01170143A0247|137 139|in
P01186344A0303|110 112|in
P01186344A0303|179 182|end
P01208811T0001|56 57|a
P01228882A0437|72 91|CSF immunoglobulins
P01243628A0286|22 25|end
P01243628A0286|56 86|blood carboxyhemoglobin (COHb)
P01246210A0648|94 96|in
P01247475A0000|97 98|a
P01247475A0000|113 115|in
P01265887T0001|31 33|in
P01272816A0000|120 122|Ca
P01276105A0313|17 24|insulin
P01280807A0575|23 49|MetRS/CAU operator complex
P01280807A0575|97 123|ThrRS/CGU operator complex
P01285807A0365|180 181|P
P01286732A0572|66 68|in
P01286732A0572|69 70|a
P01286732A0572|181 182|a
P01286732A0572|216 218|in
P01297332A0983|81 103|SWI4,6-dependent genes
P01297332A0983|130 131|a
P01309244A0798|88 90|in
P01309244A0798|129 131|in
P01309244A0798|147 148|a
P01309593A1092|88 97|UCR motif
P01309593A1092|103 137|adeno-associated virus P5 promoter
P01309593A1092|158 201|immunoglobulin light- and heavy-chain genes
P01309593A1092|223 225|in
P01309593A1092|226 249|ribosomal protein genes
P01309815A0972|14 29|scr1-1 mutation
P01309815A0972|109 111|in
P01309815A0972|151 154|AEP
P01310879A0000|62 65|HAT
P01316476A1428|4 14|ORF 4 gene
P01316476A1428|49 60|ORF 62 gene
P01316476A1428|97 103|acting
P01316903A0296|29 46|RNA polymerase II
P01316903A0296|61 64|IIA
P01316903A0296|112 115|IIO
P01316903A1040|0 18|RNA polymerase IIA
P01316903A1040|114 132|RNA polymerase IIA
P01318310A0000|71 101|high density lipoprotein (HDL)
P01321337A1161|31 60|MATa cna1 cna2 double mutants
P01321337A1161|62 79|MATa cnb1 mutants
P01321337A1161|128 140|alpha-factor
P01324404A1208|0 35|HNF-3 beta amino-terminal sequences
P01324404A1208|64 66|IV
P01324404A1208|115 117|IV
P01325221A0870|89 99|MBP kinase
P01325221A0870|123 137|p41 MAP kinase
P01326557T0000|61 70|regulated
P01328197A0985|32 70|MAP kinase activator/MAP kinase system
P01328197A0985|107 110|ras
P01329039A0951|55 68|TnI enhancers
P01329039A0951|80 81|E
P01329039A0951|105 124|MCK left E-box site
P01329039A0951|137 154|Ig kappa E2 E-box
P01331292A1425|89 90|a
P01331501A0397|58 79|pRB-binding sequences
P01331501A0397|83 86|E1A
P01331501A0397|123 127|p107
P01331501A0397|129 137|cyclin A
P01331501A0397|143 147|p130
P01333047A0404|45 75|platelet-derived growth factor
P01334493A0289|25 37|HGFr (sHGFr)
P01334493A0289|44 47|HGF
P01339391A0000|38 40|kb
P01339391A0000|67 72|HRAS1
P01339468A0272|4 16|ORF1 protein
P01339468A0272|67 92|potexvirus RNA replicases
P01346534T0000|50 107|leucine-responsive regulatory protein in Escherichia coli
P01347476T0000|15 68|mouse ornithine decarboxylase-related sequence family
P01347664A1026|59 67|CAD mRNA
P01347664A1026|80 82|in
P01348504A0757|10 35|pol alpha-primase complex
P01348504A0757|47 50|act
P01348504A0757|73 74|a
P01348590A0000|3 4|a
P01348590A0000|79 80|a
P01348590A0000|149 152|CD4
P01349837T0000|46 85|Zea mays mitochondrial chaperonin HSP60
P01352113A0002|96 99|rat
P01357528A0084|76 82|SEF-17
P01357528A0084|107 111|thin
P01357528A0084|211 212|a
P01358880A0251|62 102|human cellular transglutaminase sequence
P01360294A0000|124 149|antithrombin III (AT III)
P01363080A0710|156 174|carbonic anhydrase
P01371272A1167|84 110|yeast DNA polymerase alpha
P01371413A0742|17 28|hGCSFR gene
P01371413A0742|110 112|in
P01371413A0742|113 114|a
P01372456A0426|52 54|in
P01372456A0426|71 72|h
P01372456A0426|89 90|h
P01372456A0426|115 119|area
P01373374A0735|78 82|GBF1
P01373374A0735|87 91|GBF3
P01374392A0341|27 32|NHE-3
P01374392A0341|60 65|NHE-1
P01374392A0341|70 75|NHE-2
P01375913A0484|61 75|U14 snRNA gene
P01375913A0484|109 110|a
P01375913A0484|111 142|T7 RNA polymerase promoter site
P01377764A0309|77 79|in
P01377764A0309|111 113|in
P01378506A0884|61 63|in
P01378506A0884|95 97|NC
P01378506A0884|110 112|in
P01379150A0996|145 147|in
P01380062A0097|0 9|T antigen
P01380062A0097|24 25|H
P01380062A0097|27 29|Db
P01380062A0097|51 52|T
P01380062A0097|123 124|Y
P01380062A0097|128 129|Y
P01380062A0097|133 134|Y
P01380062A0097|142 143|Y
P01383695A0100|95 104|IgM kappa
P01383695A0100|109 119|IgM lambda
P01384040A1043|107 109|in
P01385462A0151|98 103|gamma
P01386210A0293|96 97|a
P01392277A0000|73 75|in
P01392277A0000|109 111|in
P01392277A0000|136 147|regulations
P01395755A1023|151 152|p
P01395755A1023|222 223|p
P01395755A1023|266 267|L
P01395755A1023|287 288|L
P01395755A1023|294 295|p
P01396601A0986|17 59|lumenal domains of Sec12p, Stl1p and Stl2p
P01398140A0488|18 33|Xenopus U7 gene
P01400401A0854|62 64|in
P01400401A0854|133 134|a
P01400401A0854|135 155|truncated AMPD3 cDNA
P01400775A0435|75 76|N
P01400775A0435|101 103|in
P01400775A0435|114 116|in
P01402647A0114|0 13|DR1 molecules
P01404401A0740|11 25|ATPase cluster
P01406630A0545|109 141|homodimeric Rel-related proteins
P01406630A0965|15 49|p50- or p65-selected kappa B motif
P01406630A0965|166 198|heterodimeric NF-kappa B complex
P01406703A1435|15 17|Y1
P01406703A1435|71 109|H-2RIIBP nuclear hormone receptor cDNA
P01406703A1435|123 124|a
P01406703A1435|160 162|in
P01409581A0206|55 90|myeloid/B-cell-specific factor PU.1
P01420177A1065|99 114|protein kinases
P01420177A1065|125 127|in
P01420363A0818|4 26|TIMP(-59/ -53)AP1 site
P01420363A0818|61 76|c-Fos/c-Jun AP1
P01420363A0818|143 162|nuclear AP1 factors
P01421145A1190|114 116|in
P01423738A0639|104 106|in
P01423738A0639|107 108|a
P01423738A0639|155 160|delta
P01423738A0639|173 174|h
P01443047A0773|71 73|in
P01443047A0773|91 97|Id-SCL
P01447189T0000|30 51|novel serine protease
P01454518A0336|218 234|human ERCC3 cDNA
P01457380A0000|4 38|tramtrack (ttk) gene of Drosophila
P01458170A0155|113 115|in
P01458170A0155|141 143|in
P01458170A0155|210 212|in
P01458170A0155|217 223|beta 2
P01458170A0155|230 232|in
P01459921A0000|72 73|a
P01459921A0000|233 236|cis
P01464606A0344|22 45|alpha 5 beta 1 integrin
P01468625A0282|28 38|HIS3 cDNAs
P01468625A0282|57 58|a
P01468625A0282|80 82|in
P01468625A0282|93 95|in
P01468625A0282|136 138|in
P01468625A0282|139 140|a
P01468625A1080|47 51|NSR1
P01469047A1606|32 36|tail
P01469047A1606|107 108|a
P01469047A1606|156 157|a
P01469047A1606|158 185|glutamic acid decarboxylase
P01474990A0000|75 77|in
P01474990A0000|154 155|a
P01476376T0000|47 48|a
P01476376T0000|62 64|pH
P01495069A0392|71 72|a
P01499616A0136|77 78|g
P01499616A0136|176 179|tip
P01499616A0136|215 219|flap
P01509798A0520|37 39|in
P01511950T0000|113 140|hepatitis B surface antigen
P01511950T0000|141 143|in
P01516829A0460|13 54|LexA-GAL4 and LexA-Bicoid fusion proteins
P01518833A0397|53 54|A
P01524549A0241|57 59|in
P01524549A0241|115 117|in
P01524549A0241|135 137|GH
P01524549A0241|180 182|GH
P01525153A0359|13 22|d(T2AG3T)
P01525153A0359|27 35|d(T2G4T)
P01525153A0359|50 51|G
P01526658A0454|0 11|IFI 16 mRNA
P01526658A0454|53 55|in
P01526658A0454|75 77|in
P01526658A0454|101 102|T
P01527020A0511|39 69|rat AdoMet decarboxylase genes
P01531632A0000|107 118|fibrillarin
P01531632A0000|120 124|SSB1
P01531632A0000|129 133|NSR1
P01531632A0000|143 144|a
P01531632A0000|200 202|in
P01532914A0067|131 133|in
P01542565T0000|0 70|Nuclear-encoded chloroplast ribosomal protein L12 of Nicotiana tabacum
P01542667A0125|18 27|IFN-gamma
P01542667A0125|183 206|IFN-gamma-encoding gene
P01542730A1982|262 263|a
P01544918A1240|118 119|a
P01544918A1240|261 278|RII beta (53 kDa)
P01544918A1240|292 324|RII alpha dephosphoform (51 kDa)
P01544918A1240|338 355|RI alpha (49 kDa)
P01545792A0492|87 97|regulation
P01545792A0492|101 111|MLC-2 gene
P01545797A0587|50 59|SLK1 gene
P01545797A0587|61 78|slk1 null mutants
P01545797A0587|105 106|C
P01545797A0587|123 126|can
P01546522A0000|79 84|basis
P01546522A0000|136 138|in
P01546522A0000|139 140|a
P01546522A0000|162 163|a
P01546522A0000|186 187|a
P01547775A1024|178 192|PLRV replicase
P01547775A1024|200 230|ORF2a/ORF2b transframe protein
P01547942A0120|14 53|LAP DNA-binding and dimerization domain
P01547942A0120|89 90|a
P01547942A0120|110 111|a
P01547942A0120|116 149|C/EBP-homologous protein: CHOP-10
P01547957A1083|65 66|N
P01547957A1083|126 127|a
P01547957A1083|167 171|CYP1
P01547957A1083|176 180|CYP2
P01547957A1083|203 205|in
P01547957A1083|218 219|a
P01547957A1083|220 246|CYP3-specific DNA fragment
P01547957A1083|326 327|a
P01551568A1476|46 77|910-bp internal segment of rpoB
P01552457T0000|54 55|a
P01556068A0000|74 91|monoamine oxidase
P01560021A0379|75 93|brain AE3 variants
P01568960A1129|126 128|in
P01568960A1129|150 151|Q
P01569344A0404|183 184|P
P01569581A0482|38 40|in
P01569581A0482|149 153|pair
P01573270A0000|4 11|IA4 mAb
P01573270A0000|33 34|a
P01573270A0000|63 65|in
P01573270A0000|66 72|BALB/c
P01573270A0000|105 106|a
P01573270A0000|107 118|HLA class I
P01577819A0709|12 33|PRP-precursor alleles
P01577819A0709|62 64|in
P01577819A0709|87 89|in
P01586901A0000|116 117|a
P01588963A1153|91 104|Cdc25 protein
P01589576A0170|134 136|T1
P01589576A0170|147 149|ps
P01589576A0170|151 153|T2
P01589576A0170|164 166|ps
P01589576A0170|184 186|ns
P01596007A0908|236 241|gamma
P01607223A0000|70 72|in
P01607223A0000|79 80|a
P01607223A0000|125 126|a
P01607223A0000|192 194|in
P01612085A0624|4 30|serum erythropoietin (EPO)
P01615182A0206|87 88|a
P01615493A0975|96 104|thrombin
P01618256A0521|149 150|l
P01620610A1070|108 109|a
P01620610A1070|159 161|in
P01620610A1070|199 200|a
P01620610A1070|217 220|MTI
P01620610A1070|231 234|can
P01625131A0452|54 55|a
P01625527A0000|50 51|a
P01625527A0000|67 68|n
P01625527A0000|79 81|in
P01625527A0000|82 83|a
P01625527A0000|125 126|n
P01625527A0000|192 193|n
P01625527A0000|228 229|n
P01625527A0000|269 270|n
P01627828A0475|59 62|SmN
P01627828A0475|183 191|SmN gene
P01628904A0386|47 50|a 2
P01628904A0386|61 63|kb
P01630454A0635|43 44|a
P01630454A0635|54 63|regulator
P01630454A0635|67 80|Act1 promoter
P01630455A0448|14 23|a protein
P01630455A0448|32 57|NFIL-1 beta A (NF beta A)
P01630455A0448|73 74|a
P01630455A0448|163 165|in
P01630455A0448|175 207|human and murine IL-1 beta genes
P01633816A0667|21 22|a
P01633816A0667|23 42|4-kb EcoRI fragment
P01634464A0163|31 51|factor VII inhibitor
P01634464A0163|64 65|a
P01644821A1259|68 71|CAT
P01644821A1259|222 224|in
P01644821A1259|229 240|PSG1-I gene
P01649539T0000|35 50|myeloperoxidase
P01650557T0000|51 53|in
P01651918A0000|117 185|rat testis fructose-6-phosphate,2-kinase:fructose-2,6-bisphosphatase
P01653236A0895|22 24|in
P01653236A0895|42 72|native glucocorticoid receptor
P01653236A0895|110 133|glucocorticoid receptor
P01653236A0895|134 136|in
P01657249A1019|4 24|anti-I and anti-i CA
P01657249A1019|47 63|VH4 heavy chains
P01657249A1019|78 80|CA
P01657249A1019|91 92|a
P01657249A1019|114 117|VH4
P01657249A1019|166 174|VH4-HV2a
P01658356T0000|75 87|env elements
P01658356T0000|99 101|in
P01659685T0000|61 69|regulate
P01659685T0000|70 76|Dd ras
P01674817T0000|17 28|yeast RNA14
P01674817T0000|33 44|RNA15 genes
P01674817T0000|52 54|in
P01674817T0000|132 134|in
P01674817T0000|139 152|RNA15 protein
P01675424A0991|36 61|birch NAD(P)H-NR sequence
P01678287A1308|12 44|human Antp TATAA binding protein
P01679068A0000|211 214|spp
P01682542A0690|3 4|a
P01684791A0000|8 14|acting
P01684791A0000|68 101|chicken glutamine synthetase gene
P01690728A1166|83 85|kb
P01690728A1166|87 89|in
P01690728A1166|150 161|S1 nuclease
P01692135A0783|13 36|rtFc gamma R alpha cDNA
P01692135A0783|149 172|Fc gamma R-related mRNA
P01694525A0000|0 37|Isopenicillin N isomerase (epimerase)
P01694525A0000|123 124|N
P01695322A0000|0 13|Wnt-1 (int-1)
P01695322A0000|17 18|a
P01695905A0480|0 10|GLUT5 mRNA
P01695905A0480|42 44|in
P01695905A0480|86 88|in
P01701088A1335|75 87|AP-2 element
P01702972A0613|79 90|G0S19 genes
P01702972A0613|154 164|G0S30 cDNA
P01707659A0458|70 77|HLA-5.4
P01707659A0458|107 111|Ch28
P01708098A0922|6 27|avidin-biotin complex
P01708098A0922|48 49|a
P01708098A0922|72 100|alpha promoter DNA sequences
P01708098A0922|167 169|GR
P01708098A0922|179 180|a
P01708774A0203|28 32|AP-1
P01708774A0203|54 56|in
P01710768A1172|82 85|can
P01710768A1172|145 156|HLA-B7 gene
P01710768A1172|200 216|gamma interferon
P01711041A0348|80 94|C5 alpha-chain
P01711041A0348|110 114|beta
P01711048T0000|29 30|G
P01711048T0000|62 90|pro-alpha 2(I) gene (COL1A2)
P01714902A0221|45 96|Ti alpha-beta CD3 gamma delta epsilon TCR complexes
P01714902A0221|207 247|antigen/major histocompatibility complex
P01715975A0885|38 40|in
P01717833T0000|18 36|alpha inhibin gene
P01717833T0000|101 104|rat
P01717994T0000|33 34|a
P01717994T0000|35 54|CDC2-related kinase
P01717994T0000|77 78|a
P01719684A0494|44 70|alpha-adrenergic receptors
P01721884A0962|70 72|in
P01721884A0962|77 119|retroviral ribonuclease H (RNase H) domain
P01722319A0849|136 137|N
P01722319A0849|177 178|N
P01722319A0849|183 184|C
P01725547A0354|22 23|a
P01725547A0354|45 47|in
P01725547A0354|75 76|p
P01725547A0354|90 92|in
P01725547A0354|114 117|CBF
P01725547A0354|126 127|p
P01731107A0928|50 60|ICR2 motif
P01731107A0928|84 95|replication
P01731107A0928|143 144|a
P01731107A0928|177 179|in
P01732033A0000|143 144|a
P01740437A0851|17 29|core protein
P01740437A0851|30 32|in
P01740437A0851|37 47|liver HSPG
P01740437A0851|155 166|fibroglycan
P01744119A0757|19 48|primase recognition sequences
P01744119A0757|164 185|63-kDa gene 4 protein
P01748194A0767|161 162|N
P01748287T0000|0 26|Human SRF-related proteins
P01748292A0000|45 46|a
P01748292A0000|47 82|G protein alpha subunit from tomato
P01751163A0000|137 139|in
P01754381A0000|51 62|replicative
P01754381A0000|63 94|DNA polymerases of trypanosomes
P01754381A0000|219 266|DNA polymerase alpha catalytic core (pol alpha)
P01757341A0591|94 95|a
P01757341A0591|102 106|area
P01757341A0591|151 171|alkaline phosphatase
P01758750A0000|86 87|a
P01759282A0000|111 117|impact
P01762914A1218|11 23|uPA promoter
P01762914A1218|47 50|cis
P01762914A1218|51 57|acting
P01762914A1218|88 90|kb
P01765095A0680|138 142|CMD1
P01765095A0680|147 155|myogenin
P01765266A0000|41 87|elongation factor 1-alpha variant EF-1 alpha O
P01766876A0000|59 78|mu heavy chain gene
P01767899A0136|69 80|prothrombin
P01767899A0136|103 117|thromboplastin
P01768648A0853|29 49|LexA fusion proteins
P01768648A0853|106 110|cRel
P01771593A1152|47 49|in
P01774063A0161|134 153|thrombospondin gene
P01774063A0161|165 171|linked
P01774063A0161|179 183|Fshb
P01774063A0161|185 190|Actcl
P01774063A0161|192 195|Ltk
P01774063A0161|201 209|B2M loci
P01779433A0694|34 51|Alu family repeat
P01779433A0694|115 116|Y
P01779433A0694|124 170|alpha 2 gene-containing unit in rhesus macaque
P01779433A0694|197 214|Alu family repeat
P01779433A0694|216 221|Alu 3
P01779433A0694|251 253|in
P01779433A0694|290 291|a
P01779433A0694|302 319|Alu family repeat
P01779433A0694|332 335|end
P01779433A0694|359 376|Alu family repeat
P01784589A0000|49 63|5-HT2 receptor
P01784589A0000|73 75|in
P01784589A0000|81 84|rat
P01788002T0001|36 38|in
P01791754T0000|69 71|in
P01791754T0000|76 77|C
P01791754T0000|107 134|Escherichia coli haemolysin
P01797467A0000|65 67|in
P01808049A0262|23 25|in
P01816655T0000|49 50|a
P01822581A0533|83 84|a
P01825027T0000|6 7|a
P01825027T0000|63 64|a
P01825027T0000|75 76|a
P01825027T0000|102 109|ATPases
P01826003A0694|71 81|SIG family
P01826003A0694|87 99|beta TG gene
P01826043A0431|4 26|pp90rsk-protein kinase
P01826043A0431|125 140|protein kinases
P01826043A0431|153 189|cyclic AMP-dependent protein kinases
P01826043A0431|206 229|protein kinase C family
P01826043A0431|240 272|Ca2(+)-dependent protein kinases
P01828248A0189|17 29|UvrA protein
P01828248A0189|49 61|UvrB protein
P01828248A0189|95 97|in
P01828248A0189|111 113|in
P01828248A0189|146 159|UvrAB complex
P01828248A0189|170 171|a
P01828248A0189|172 180|helicase
P01830928A0361|47 54|dyneins
P01830928A0361|76 77|a
P01832152A0902|63 67|ORF2
P01833185A0547|30 31|a
P01833185A0547|49 51|in
P01833637A0531|74 88|cdc68-1 mutant
P01833637A0531|182 192|HSP82 gene
P01833637A0531|203 205|in
P01837842A1410|53 55|in
P01837842A1410|115 118|CRE
P01845899A0000|4 41|adeno-associated virus (AAV) rep gene
P01849509T0000|169 196|Staphylococcus aureus IS256
P01849509T0000|201 231|Thiobacillus ferrooxidans IST2
P01850096A0662|29 32|E12
P01850096A0662|37 41|MyoD
P01850096A0662|46 49|E12
P01850096A0662|70 71|a
P01850096A0662|146 165|cardiac alpha-actin
P01856021A0577|85 86|a
P01857143A0351|35 37|in
P01865010A0000|255 257|in
P01865010A0000|285 288|rat
P01870500A0276|81 82|S
P01873999A0000|185 186|a
P01874195A0139|28 39|GH receptor
P01874195A0139|190 205|tyrosine kinase
P01878755A0496|14 25|enterotoxin
P01878755A0496|63 64|P
P01878755A0496|114 115|P
P01884435A0088|126 127|a
P01884435A0088|226 229|ptH
P01884998A1135|93 94|a
P01884998A1135|95 113|C/EBP-binding site
P01885613A1298|73 83|regulation
P01885613A1298|91 120|pro alpha 1(II) collagen gene
P01886368A0000|84 86|in
P01886368A0000|126 128|in
P01895370A0199|44 45|S
P01895370A0199|59 60|D
P01895370A0199|102 110|envelope
P01895370A0199|116 118|in
P01895370A0199|128 130|in
P01895370A0199|131 132|a
P01895370A0199|154 155|D
P01895555T0001|88 89|m
P01898928A0260|130 155|Escherichia coli fur gene
P01901405A0694|50 56|AT-BP2
P01901859A0000|70 98|terminal glycosyltransferase
P01901950T0000|88 104|mouse c-fos gene
P01903841A0125|71 72|a
P01904154A0164|81 88|Ig loci
P01904154A0164|103 104|a
P01904546A0671|18 39|chromosomal AAR1 gene
P01906692A0321|33 38|rt-PA
P01907265A0670|56 69|endonucleases
P01907265A0670|70 72|in
P01909027A0922|107 135|fork head DNA binding domain
P01909027A0922|142 144|in
P01909027A0922|149 186|Drosophila homeotic protein fork head
P01909027A0922|203 229|hepatocyte nuclear factors
P01909027A0922|231 236|HNF-3
P01916405A0242|110 112|PC
P01916405A0242|114 116|DB
P01917962A0152|35 85|immunoglobulin gene recombination signal sequences
P01917962A0152|111 114|can
P01917962A0152|130 149|human IL-2R L chain
P01917962A0152|201 214|SV40 promoter
P01918070A0281|36 65|T3 receptor alpha (T3R alpha)
P01918070A0281|81 83|in
P01918070A0281|148 156|rGH T3RE
P01922739A0336|62 64|in
P01922739A0336|107 108|a
P01922739A0336|140 142|in
P01922739A0336|281 283|in
P01922739A0336|357 359|in
P01923766A0485|143 145|in
P01924315A0158|90 94|SOD1
P01925092A0000|108 114|fibrin
P01928923A0000|92 93|a
P01928923A0000|133 135|in
P01928923A0000|179 185|distal
P01930470A0337|57 59|in
P01930470A0337|143 146|PTH
P01931966A0490|23 29|pADPRP
P01931966A0490|53 59|pADPRP
P01939878A0765|68 74|casein
P01939878A0765|123 125|in
P01956491A0095|126 133|inuline
P01956491A0095|224 226|in
P01956491A0095|257 261|rats
P01961996A0522|17 18|R
P01963858T0001|64 66|in
P01968043A0908|96 98|in
P01968224A0119|80 81|a
P01968224A0119|113 118|pairs
P01968224A0119|181 196|Drosophila PCNA
P01968224A0119|226 249|human PCNA polypeptides
P01970560A1024|29 52|aroF regulatory regions
P01970560A1024|56 60|lacZ
P01970560A1024|98 100|in
P01970560A1024|142 160|beta-Galactosidase
P01970560A1024|186 196|regulation
P01970560A1024|200 209|aroF-lacZ
P01970560A1024|239 261|E. coli TyrR repressor
P01970984A0668|66 67|E
P01970984A0668|70 71|T
P01970984A0668|76 77|E
P01970984A0668|83 85|in
P01982997A1104|15 51|immediate-early transcription factor
P01982997A1104|149 159|c-Jun mRNA
P01982997A1104|200 205|c-Fos
P01982997A1104|210 221|Jun-B mRNAs
P01988041A0281|58 74|3018-bp BAL cDNA
P01990266A0678|52 57|UHF-1
P01992953T0000|25 27|in
P01995951A0000|110 136|transcriptional factor Sp1
P01997465A0276|33 37|area
P01997465A0276|70 78|collagen
P02002051T0000|41 98|bovine catalytic subunit of cAMP-dependent protein kinase
P02005547A0121|218 220|in
P02011924A0729|70 73|can
P02011924A0729|91 93|MU
P02011924A0729|101 110|alpha-IFN
P02012097T0000|48 50|in
P02016053A0752|39 51|E74A protein
P02016053A0752|59 60|a
P02016053A0752|78 79|C
P02016053A0752|109 111|in
P02022188A0112|43 54|BJ1 protein
P02022188A0112|183 218|high mobility group proteins (HMGs)
P02023097A0000|4 59|human immunodeficiency virus type 1 (HIV-1) Rev protein
P02023904A0120|4 13|CDC7 gene
P02023904A0120|22 24|in
P02024252A0000|77 79|in
