P00027739T0000|6 31|gamma glutamyltransferase
P01309593A1092|24 27|UCR
P01309593A1092|103 128|adeno-associated virus P5
P01309593A1092|126 137|P5 promoter
P01309593A1092|126 128|P5
P01309593A1092|158 201|immunoglobulin light- and heavy-chain genes
P01309593A1092|226 243|ribosomal protein
P01309815A0972|14 20|scr1-1
P01309860A0559|123 131|mouse L1
P01309860A0559|123 180|mouse L1 family of long interspersed repetitive sequences
P01309860A0559|129 131|L1
P01309860A0559|129 138|L1 family
P01309860A0559|129 180|L1 family of long interspersed repetitive sequences
P01309910A0428|86 91|CREB2
P01310154A0879|104 107|FBR
P01310154A0879|104 107|FBR
P01310178A0876|36 41|gp0.7
P01310178A0876|109 121|30-kDa gp0.7
P01310178A0876|116 129|gp0.7-related
P01310178A0876|116 121|gp0.7
P01310178A0876|116 141|gp0.7-related polypeptide
P01310899A0339|139 174|cytoplasmic serine/threonine kinase
P01310899A0339|151 181|serine/threonine kinase domain
P01310899A0339|151 174|serine/threonine kinase
P01310935T0000|11 16|UbcD1
P01310935T0000|44 72|ubiquitin-conjugating enzyme
P01313846A0850|76 90|immunoglobulin
P01313846A0850|76 95|immunoglobulin gene
P01313846A0850|139 146|amalgam
P01313846A0850|152 163|melanoma Ag
P01313846A0850|161 170|Ag MUC-18
P01313846A0850|164 170|MUC-18
P01313846A0850|187 206|carcinoembryonic Ag
P01313894A1179|65 70|LMP2B
P01313909A0526|22 26|ICP0
P01315706A0000|49 71|adenovirus E1a protein
P01315706A0000|49 63|adenovirus E1a
P01315706A0000|60 63|E1a
P01316461A1083|26 28|S2
P01316461A1083|26 28|S2
P01316476A1428|4 9|ORF 4
P01316476A1428|49 55|ORF 62
P01316680A0643|19 22|IR5
P01316900A0000|24 70|sulfate activation locus from Escherichia coli
P01317376A0981|143 146|frk
P01318310A0000|71 101|high density lipoprotein (HDL)
P01320255A0795|89 91|L1
P01320255A0795|89 91|L1
P01320640A0336|60 67|enolase
P01321277A0342|67 76|SRC x ROS
P01321277A0664|0 13|ROS x SRC (R)
P01321277A0664|0 9|ROS x SRC
P01321277A0664|6 13|SRC (R)
P01321280A0494|39 41|E6
P01321280A0494|46 48|E7
P01321280A0494|46 62|E7 gene products
P01321280A0494|198 200|E6
P01321280A0494|205 214|E7 fusion
P01321280A0494|205 207|E7
P01321332A0970|123 133|apoAI gene
P01321332A0970|123 128|apoAI
P01321336A0731|23 27|ALF1
P01321337A0318|193 204|calcineurin
P01321337A0318|193 204|calcineurin
P01321337A1161|31 45|MATa cna1 cna2
P01321337A1161|31 40|MATa cna1
P01321337A1161|31 60|MATa cna1 cna2 double mutants
P01321337A1161|36 45|cna1 cna2
P01321337A1161|62 71|MATa cnb1
P01321337A1161|62 79|MATa cnb1 mutants
P01321337A1161|67 71|cnb1
P01324385A0329|9 12|IgG
P01324404A0813|133 143|HNF-3 beta
P01324404A1208|0 10|HNF-3 beta
P01324404A1208|0 25|HNF-3 beta amino-terminal
P01324406A1250|32 51|ATPase/DNA helicase
P01325221A0870|123 126|p41
P01325386A0766|60 78|heat shock protein
P01326329A0703|191 217|activator protein 2 (Ap-2)
P01326329A0703|191 223|activator protein 2 (Ap-2) sites
P01326329A0703|211 223|(Ap-2) sites
P01327758A0000|89 91|E1
P01327758A0000|108 122|full-length E2
P01327758A0000|120 122|E2
P01327758A0000|120 130|E2 protein
P01328197A0985|32 63|MAP kinase activator/MAP kinase
P01328197A0985|32 70|MAP kinase activator/MAP kinase system
P01328854T0000|9 14|MEF-2
P01328854T0000|124 153|human phosphoglycerate mutase
P01328854T0000|130 158|phosphoglycerate mutase gene
P01328854T0000|130 153|phosphoglycerate mutase
P01328884T0000|46 58|MHC class II
P01329039A0951|55 58|TnI
P01329039A0951|105 119|MCK left E-box
P01329039A0951|105 108|MCK
P01329039A0951|137 148|Ig kappa E2
P01330077A0000|0 31|T-cell receptor beta (TCR beta)
P01330077A0000|0 36|T-cell receptor beta (TCR beta) gene
P01330077A0000|21 36|(TCR beta) gene
P01330309A1134|46 54|myogenin
P01330309A1134|46 61|myogenin fusion
P01331057A0000|65 68|VIb
P01331057A0000|97 117|cytochrome c oxidase
P01331060A0768|21 34|calcineurin A
P01331086T0000|31 69|murine cytochrome c oxidase subunit IV
P01331086T0000|38 74|cytochrome c oxidase subunit IV gene
P01331086T0000|38 69|cytochrome c oxidase subunit IV
P01331086T0000|106 116|ets motifs
P01331086T0000|130 134|GABP
P01331086T0000|130 142|GABP-related
P01332964A0247|28 36|RII beta
P01333035T0000|12 33|cAMP receptor protein
P01333035T0000|12 25|cAMP receptor
P01333035T0000|88 102|RNA polymerase
P01333047A0404|148 151|Nck
P01333053A0110|26 45|steroid hydroxylase
P01333317A1008|80 119|proximal regulatory factor(s) I (PRF-I)
P01334428A1102|32 35|src
P01334428A1102|32 43|src-related
P01334493A0289|25 37|HGFr (sHGFr)
P01337142A2043|10 34|human glycoprotein alpha
P01337142A2043|10 42|human glycoprotein alpha-subunit
P01337142A2043|16 34|glycoprotein alpha
P01337142A2043|16 42|glycoprotein alpha-subunit
P01337142A2043|16 51|glycoprotein alpha-subunit promoter
P01337142A2043|29 51|alpha-subunit promoter
P01339373T0000|91 110|SNF1 protein kinase
P01339468A0272|78 92|RNA replicases
P01340470A0000|3 22|RNA-binding protein
P01340470A0000|3 34|RNA-binding protein gene (rbp1)
P01346534T0000|50 107|leucine-responsive regulatory protein in Escherichia coli
P01347476T0000|15 61|mouse ornithine decarboxylase-related sequence
P01347476T0000|15 52|mouse ornithine decarboxylase-related
P01347476T0000|21 61|ornithine decarboxylase-related sequence
P01347476T0000|21 68|ornithine decarboxylase-related sequence family
P01347476T0000|21 52|ornithine decarboxylase-related
P01347664A1026|59 62|CAD
P01348504A0757|10 27|pol alpha-primase
P01348508A0313|178 182|TGM1
P01349837T0000|46 85|Zea mays mitochondrial chaperonin HSP60
P01349837T0000|46 79|Zea mays mitochondrial chaperonin
P01349837T0000|55 85|mitochondrial chaperonin HSP60
P01349837T0000|55 79|mitochondrial chaperonin
P01349837T0000|69 79|chaperonin
P01349837T0000|69 85|chaperonin HSP60
P01350780A0184|83 122|Escherichia coli gamma-glutamyl kinases
P01350780A0184|100 122|gamma-glutamyl kinases
P01353478T0000|29 32|IAP
P01358190A0654|20 23|DR1
P01358758A0000|26 44|rat insulin I gene
P01358758A0000|26 39|rat insulin I
P01358758A0000|30 44|insulin I gene
P01358758A0000|30 39|insulin I
P01358880A0251|62 93|human cellular transglutaminase
P01358880A0251|62 102|human cellular transglutaminase sequence
P01358880A0251|68 102|cellular transglutaminase sequence
P01358880A0251|68 93|cellular transglutaminase
P01360294A0000|124 149|antithrombin III (AT III)
P01371272A1167|90 110|DNA polymerase alpha
P01371413A0742|17 23|hGCSFR
P01372802A1481|28 30|C3
P01372802A1481|124 129|C3(D)
P01372802A1481|124 126|C3
P01372802A1481|124 126|C3
P01372802A1481|124 129|C3(D)
P01372802A1481|124 126|C3
P01372802A1481|124 126|C3
P01372900A0448|110 125|alpha s1-casein
P01372900A1017|64 84|goat alpha s1-casein
P01372900A1017|69 84|alpha s1-casein
P01372900A1017|69 103|alpha s1-casein transcription unit
P01374331A0636|82 84|S1
P01375913A0484|61 70|U14 snRNA
P01375913A0484|111 137|T7 RNA polymerase promoter
P01375913A0484|111 128|T7 RNA polymerase
P01375913A0484|114 137|RNA polymerase promoter
P01375913A0484|114 128|RNA polymerase
P01375913A0484|114 142|RNA polymerase promoter site
P01376319T0000|27 78|mouse cation-dependent mannose 6-phosphate receptor
P01376319T0000|33 78|cation-dependent mannose 6-phosphate receptor
P01377696A0000|4 58|chick axon-associated surface glycoprotein neurofascin
P01377696A0000|10 58|axon-associated surface glycoprotein neurofascin
P01377696A0000|26 58|surface glycoprotein neurofascin
P01377696A0000|34 58|glycoprotein neurofascin
P01377962A1012|21 25|GS-2
P01378052A0594|189 193|NifA
P01378052A0594|189 212|NifA upstream activator
P01380454A0451|52 57|ref-1
P01380454A0451|102 122|Fos-Jun heterodimers
P01380454A0451|106 122|Jun heterodimers
P01380454A0451|124 142|Jun-Jun homodimers
P01380454A0451|128 142|Jun homodimers
P01380454A0451|157 161|AP-1
P01380454A0451|271 286|ATF/CREB family
P01380454A0451|271 279|ATF/CREB
P01380454A0451|275 286|CREB family
P01383690A1023|4 18|ARG SH2 domain
P01383690A1023|4 11|ARG SH2
P01383690A1023|8 11|SH2
P01383690A1023|126 133|ABL SH2
P01383690A1023|126 140|ABL SH2 domain
P01383690A1023|130 133|SH2
P01384229A0175|124 129|BF-IV
P01384229A0175|198 216|herpes TK promoter
P01384229A0175|198 207|herpes TK
P01384229A0175|205 207|TK
P01384229A0175|233 273|chloramphenicol acetyl transferase (CAT)
P01384229A0175|233 278|chloramphenicol acetyl transferase (CAT) gene
P01384229A0175|233 288|chloramphenicol acetyl transferase (CAT) gene (pBLCAT2)
P01384229A0175|268 278|(CAT) gene
P01384229A0175|268 288|(CAT) gene (pBLCAT2)
P01387105A0933|159 227|cyclin B1-related sequences (designated loci Cycb1-rs1 to Cycb1-rs9)
P01387105A0933|159 168|cyclin B1
P01387105A0933|159 176|cyclin B1-related
P01387105A0933|204 213|Cycb1-rs1
P01394200A0592|161 190|CD25 (interleukin 2 receptor)
P01394655A0615b|139 145|urease
P01396583A0204|52 70|interleukin 2 gene
P01396592A1113|33 41|SCL gene
P01396592A1113|33 36|SCL
P01396592A1113|76 103|transcription factor GATA-1
P01396592A1113|97 103|GATA-1
P01396592A1113|117 120|SCL
P01396592A1113|117 125|SCL gene
P01396601A0986|17 59|lumenal domains of Sec12p, Stl1p and Stl2p
P01396601A0986|17 42|lumenal domains of Sec12p
P01396601A0986|17 49|lumenal domains of Sec12p, Stl1p
P01396601A0986|36 49|Sec12p, Stl1p
P01396601A0986|36 59|Sec12p, Stl1p and Stl2p
P01396601A0986|44 59|Stl1p and Stl2p
P01398068A0948|42 69|his175 or his273 mutant p53
P01398068A0948|52 69|his273 mutant p53
P01398068A0948|52 78|his273 mutant p53 proteins
P01398068A0948|59 78|mutant p53 proteins
P01398068A0948|59 69|mutant p53
P01398068A0948|66 78|p53 proteins
P01398068A0948|66 69|p53
P01398068A0948|116 123|RGC DNA
P01398068A0948|116 119|RGC
P01398073A0986|51 69|multisubunit TFIID
P01398073A0986|64 77|TFIID protein
P01398073A0986|64 69|TFIID
P01398074A0697|90 99|RNase MRP
P01398074A0697|96 99|MRP
P01398074A0697|96 106|MRP enzyme
P01398074A1081|4 17|RNase MRP RNA
P01398074A1081|4 13|RNase MRP
P01398074A1081|4 13|RNase MRP
P01398104A0834|59 78|RNA-binding protein
P01398106A0754|16 46|intron-encoded enzyme (I-CreI)
P01398106A0754|31 46|enzyme (I-CreI)
P01398140A0488|18 28|Xenopus U7
P01398140A0488|26 28|U7
P01398140A0488|26 33|U7 gene
P01400217T0000|33 71|IncP alpha plasmid transfer genes traF
P01400217T0000|44 71|plasmid transfer genes traF
P01400217T0000|44 71|plasmid transfer genes traF
P01400217T0000|61 80|genes traF and traG
P01400217T0000|61 71|genes traF
P01400217T0000|67 71|traF
P01400401A0065|16 29|AMP deaminase
P01400401A0065|47 57|M (muscle)
P01400401A0065|59 68|L (liver)
P01400401A0065|78 94|E2 (erythrocyte)
P01400401A0854|135 150|truncated AMPD3
P01400401A0854|145 155|AMPD3 cDNA
P01400401A0854|145 150|AMPD3
P01402647A0114|0 3|DR1
P01404401A0740|11 17|ATPase
P01406630A0545|109 141|homodimeric Rel-related proteins
P01406630A0545|121 124|Rel
P01406630A0545|121 132|Rel-related
P01406630A0965|15 49|p50- or p65-selected kappa B motif
P01406630A0965|15 43|p50- or p65-selected kappa B
P01406630A0965|23 43|p65-selected kappa B
P01406630A0965|36 43|kappa B
P01406630A0965|36 49|kappa B motif
P01406630A0965|166 190|heterodimeric NF-kappa B
P01406630A0965|180 190|NF-kappa B
P01406630A0965|180 198|NF-kappa B complex
P01406656A1075|46 62|mouse alpha 1(I)
P01406656A1075|52 67|alpha 1(I) gene
P01406656A1075|52 62|alpha 1(I)
P01406656A1075|194 197|ras
P01406677A0000|93 108|human myoglobin
P01406677A0000|99 108|myoglobin
P01406677A0000|99 113|myoglobin gene
P01406677A0000|259 277|firefly luciferase
P01406677A0000|267 282|luciferase gene
P01406677A0000|267 277|luciferase
P01406688A0898|40 45|rap1t
P01406703A1435|71 79|H-2RIIBP
P01406703A1435|71 104|H-2RIIBP nuclear hormone receptor
P01409581A0206|23 46|E26 virus-encoded v-ets
P01409581A0206|86 90|PU.1
P01409643A0618|241 277|TATA element modulatory factor (TMF)
P01420363A0818|4 21|TIMP(-59/ -53)AP1
P01420363A0818|4 26|TIMP(-59/ -53)AP1 site
P01420363A0818|4 18|TIMP(-59/ -53)
P01420363A0818|18 26|AP1 site
P01420363A0818|61 76|c-Fos/c-Jun AP1
P01420363A0818|73 76|AP1
P01420363A0818|143 154|nuclear AP1
P01420363A0818|151 162|AP1 factors
P01420363A0818|151 154|AP1
P01420363T0000|23 27|PEA3
P01420363T0000|63 119|murine tissue inhibitor of metalloproteinases-1 (TIMP-1)
P01420363T0000|70 119|tissue inhibitor of metalloproteinases-1 (TIMP-1)
P01420363T0000|70 110|tissue inhibitor of metalloproteinases-1
P01420579A0292|26 39|(SN) antibody
P01420579A0292|27 29|SN
P01420579A0292|27 29|SN
P01421390T0000|34 88|human granulocyte-macrophage colony-stimulating factor
P01421390T0000|40 88|granulocyte-macrophage colony-stimulating factor
P01427034A0440|105 108|S13
P01429596A1669|95 149|Limulus 18K agglutination-aggregation factor (18K-LAF)
P01429740A1065|144 146|E2
P01431380A0244|169 201|anti-SF group rickettsiae (SFGR)
P01431380A0244|169 210|anti-SF group rickettsiae (SFGR) antibody
P01431380A0244|195 210|(SFGR) antibody
P01431380A0244|327 354|monoclonal antibody to JSFR
P01431809T0000|56 119|polyhedrin gene of Spodoptera exigua nuclear polyhedrosis virus
P01431809T0000|56 66|polyhedrin
P01437562A0462|0 8|Anti-CRK
P01448107A0361|29 43|GCN2 mutations
P01448107A0361|29 33|GCN2
P01448917A0775|94 104|CPMV RNA 1
P01448917A0775|99 104|RNA 1
P01448917A0775|99 113|RNA 1 sequence
P01448917A0775|99 104|RNA 1
P01448917A0775|99 104|RNA 1
P01448917A0775|278 295|presumed helicase
P01448917A0775|287 295|helicase
P01448917A0775|297 300|VPg
P01448932T0000|25 36|segment S12
P01448932T0000|25 47|segment S12 transcript
P01448932T0000|33 47|S12 transcript
P01448932T0000|33 36|S12
P01452037A0000|4 78|structural genes encoding glyceraldehyde-3-phosphate dehydrogenase (GAPDH)
P01452037A0000|4 70|structural genes encoding glyceraldehyde-3-phosphate dehydrogenase
P01452037A0000|15 70|genes encoding glyceraldehyde-3-phosphate dehydrogenase
P01452037A0000|15 78|genes encoding glyceraldehyde-3-phosphate dehydrogenase (GAPDH)
P01452037A0000|30 78|glyceraldehyde-3-phosphate dehydrogenase (GAPDH)
P01452037A0000|80 111|3-phosphoglycerate kinase (PGK)
P01452037A0000|139 170|triosephosphate isomerase (TIM)
P01452037A0000|250 253|gap
P01452037A0000|287 313|Escherichia coli gap amber
P01452037A0000|287 320|Escherichia coli gap amber mutant
P01452037A0000|287 307|Escherichia coli gap
P01452037A0000|304 307|gap
P01452037A0000|304 313|gap amber
P01452584T0000|23 33|exotoxin A
P01454518A0336|218 229|human ERCC3
P01454518A0336|224 229|ERCC3
P01454518A0336|224 234|ERCC3 cDNA
P01454819A0000|73 119|arginine ADP-ribosyltransferases (EC 2.4.2.31)
P01454819A0000|124 168|ADP-ribosylarginine hydrolases (EC 3.2.2.19)
P01456888A0074|75 110|group specific core antigen p55 gag
P01456888A0074|90 110|core antigen p55 gag
P01456888A0074|95 110|antigen p55 gag
P01456888A0074|103 106|p55
P01456888A0074|103 110|p55 gag
P01456888A0074|269 280|protein p55
P01456888A0074|277 280|p55
P01457380A0000|4 19|tramtrack (ttk)
P01457380A0000|4 24|tramtrack (ttk) gene
P01457380A0000|4 38|tramtrack (ttk) gene of Drosophila
P01457380A0000|14 38|(ttk) gene of Drosophila
P01457380A0000|14 24|(ttk) gene
P01457380A0000|15 18|ttk
P01457380A0000|15 18|ttk
P01459451A0478|0 9|GAL4-VP16
P01460054A0478|10 15|ICSBP
P01464329T0000|2 21|coiled-coil related
P01468625A0282|28 38|HIS3 cDNAs
P01469042A0355|6 12|CENP-B
P01469042A0355|6 12|CENP-B
P01471602A0362|128 147|(HMG-CoA) reductase
P01477021A0394|42 66|maternal serum prolactin
P01477021A0394|51 66|serum prolactin
P01480183A0000|30 47|human lactoferrin
P01480183A0000|36 47|lactoferrin
P01480183A0000|36 52|lactoferrin gene
P01480183A1689|75 86|lactoferrin
P01485648A0000|163 184|allergen-specific IgE
P01485648A0000|181 195|IgE antibodies
P01485648A0000|181 184|IgE
P01498607A0000|94 119|parsley chalcone synthase
P01498607A0000|102 128|chalcone synthase promoter
P01498607A0000|102 119|chalcone synthase
P01502157A0000|71 86|c-MYC P1 and P2
P01502157A0000|71 79|c-MYC P1
P01502157A0000|71 76|c-MYC
P01512259A0867|125 130|furin
P01516829A0460|13 54|LexA-GAL4 and LexA-Bicoid fusion proteins
P01516829A0460|13 45|LexA-GAL4 and LexA-Bicoid fusion
P01516829A0460|13 38|LexA-GAL4 and LexA-Bicoid
P01516829A0460|27 38|LexA-Bicoid
P01516829A0460|27 45|LexA-Bicoid fusion
P01516829A0460|156 160|lexA
P01518849A0165|108 123|protein elastin
P01518849A0165|116 123|elastin
P01518849A0165|172 200|alpha 1-proteinase inhibitor
P01518849A0165|172 190|alpha 1-proteinase
P01518849A0165|215 222|elastin
P01526658A0454|0 6|IFI 16
P01527020A0511|39 63|rat AdoMet decarboxylase
P01527020A0511|43 63|AdoMet decarboxylase
P01527020A0511|43 69|AdoMet decarboxylase genes
P01529530T0000|106 111|ISGF3
P01532229A1264|96 107|HF-1b/MEF-2
P01535242A0557|94 99|c-fms
P01536575A1213|182 214|cytochrome P450IA1 gene (CYPIA1)
P01536575A1213|182 200|cytochrome P450IA1
P01537334A0507|86 100|mutation slaty
P01537334A0507|95 100|slaty
P01537845A0571|17 29|murine c-myb
P01537845A0571|24 29|c-myb
P01537845A0571|24 29|c-myb
P01538401A1244|70 77|5 S RNA
P01538403A1058|212 214|H5
P01542565A0220|0 18|Mature tobacco L12
P01542565A0220|7 26|tobacco L12 protein
P01542565A0220|7 18|tobacco L12
P01542565A0220|15 18|L12
P01542565A0220|15 26|L12 protein
P01542565A0220|60 104|ribosomal protein L7/L12 of Escherichia coli
P01542565A0220|60 80|ribosomal protein L7
P01542565A0220|60 84|ribosomal protein L7/L12
P01542565A0220|70 84|protein L7/L12
P01542565A0220|70 104|protein L7/L12 of Escherichia coli
P01542565A0220|78 104|L7/L12 of Escherichia coli
P01542565A0220|78 84|L7/L12
P01542565T0000|0 49|Nuclear-encoded chloroplast ribosomal protein L12
P01542565T0000|16 49|chloroplast ribosomal protein L12
P01542565T0000|28 49|ribosomal protein L12
P01542565T0000|28 70|ribosomal protein L12 of Nicotiana tabacum
P01542565T0000|38 49|protein L12
P01542565T0000|38 70|protein L12 of Nicotiana tabacum
P01542565T0000|46 49|L12
P01542565T0000|46 70|L12 of Nicotiana tabacum
P01542667A0125|18 27|IFN-gamma
P01542686A0000|54 57|Rel
P01542686A0000|54 75|Rel-related human p75
P01542686A0000|54 65|Rel-related
P01542686A0000|66 89|human p75 nucleoprotein
P01542686A0000|66 97|human p75 nucleoprotein complex
P01542686A0000|66 75|human p75
P01542686A0000|72 97|p75 nucleoprotein complex
P01542686A0000|72 75|p75
P01542686A0000|133 167|65-kDa (p65) subunit of NF-kappa B
P01542686A0000|140 167|(p65) subunit of NF-kappa B
P01543909A0787|236 244|ferritin
P01544918A1240|261 278|RII beta (53 kDa)
P01544918A1240|292 324|RII alpha dephosphoform (51 kDa)
P01544918A1240|292 315|RII alpha dephosphoform
P01544918A1240|338 355|RI alpha (49 kDa)
P01545787A0345|85 92|DNase I
P01545792A0000|4 45|cardiac myosin light chain-2 (MLC-2) gene
P01545792A0000|4 54|cardiac myosin light chain-2 (MLC-2) gene promoter
P01545792A0000|12 32|myosin light chain-2
P01545792A0000|12 45|myosin light chain-2 (MLC-2) gene
P01545792A0000|12 40|myosin light chain-2 (MLC-2)
P01545792A0000|12 54|myosin light chain-2 (MLC-2) gene promoter
P01545792A0000|33 45|(MLC-2) gene
P01545792A0000|33 54|(MLC-2) gene promoter
P01545792A0492|101 106|MLC-2
P01545797A0587|50 54|SLK1
P01545797A0587|61 65|slk1
P01545806T0000|38 100|yeast early meiotic recombination genes REC102 and REC107/MER2
P01545806T0000|44 100|early meiotic recombination genes REC102 and REC107/MER2
P01545806T0000|44 84|early meiotic recombination genes REC102
P01545806T0000|72 84|genes REC102
P01545806T0000|78 84|REC102
P01545806T0000|89 100|REC107/MER2
P01545818A0696|65 74|v-Src SH2
P01545818A0696|65 74|v-Src SH2
P01545818A0696|187 203|v-Src SH2 domain
P01545818A0696|193 203|SH2 domain
P01547775A1024|183 192|replicase
P01547775A1024|200 222|ORF2a/ORF2b transframe
P01547775A1024|200 211|ORF2a/ORF2b
P01547942A0120|14 53|LAP DNA-binding and dimerization domain
P01547942A0120|116 149|C/EBP-homologous protein: CHOP-10
P01547942A0120|133 149|protein: CHOP-10
P01547957A1083|220 224|CYP3
P01547957A1083|220 237|CYP3-specific DNA
P01548756A1102|27 32|EHS-1
P01548756A1102|27 32|EHS-1
P01548891A0635|31 50|parathyroid hormone
P01549118A0000|4 39|Caenorhabditis elegans vitellogenin
P01549118A0000|27 45|vitellogenin genes
P01549118A0000|27 39|vitellogenin
P01549123A0480|4 13|MET4 gene
P01549123A0480|69 137|protein related to the family of the bZIP transcriptional activators
P01549123A0480|92 137|family of the bZIP transcriptional activators
P01549125A0140|61 68|beta GK
P01549346A0000|4 11|c-Ets-1
P01551568A1476|46 77|910-bp internal segment of rpoB
P01551568A1476|53 77|internal segment of rpoB
P01551568A1476|62 77|segment of rpoB
P01551568A1476|95 98|Rif
P01552853A1377|70 73|yop
P01554334A0000|23 51|gamma-interferon (IFN-gamma)
P01556068A0000|25 34|gene maoA
P01556068A0000|30 34|maoA
P01557411A1282|10 19|human D1A
P01557411A1282|16 19|D1A
P01557411A1282|16 24|D1A gene
P01560021A0379|75 84|brain AE3
P01560021A0379|81 84|AE3
