Source	Subset Code	Subset Name	Concept Code	Source PT	Source Synonyms(s)	Source Definition
FDA	C133243	SPL Blood Form Product Type Terminology	C133336	Platelets PAS (Platelets Additive Solution)		
FDA	C133243	SPL Blood Form Product Type Terminology	C133342	PF24 Plasma		
FDA	C133243	SPL Blood Form Product Type Terminology	C133343	PF24RT24 Plasma		
FDA	C133243	SPL Blood Form Product Type Terminology	C133344	Recovered Plasma		
FDA	C133243	SPL Blood Form Product Type Terminology	C133345	Plasma Cryoprecipitated Reduced		
FDA	C133243	SPL Blood Form Product Type Terminology	C133346	Liquid Plasma		
FDA	C133243	SPL Blood Form Product Type Terminology	C133347	Source Plasma		
FDA	C133243	SPL Blood Form Product Type Terminology	C133348	Therapeutic Exchange Plasma		
FDA	C133243	SPL Blood Form Product Type Terminology	C133349	Platelets Extended Dating		
FDA	C133243	SPL Blood Form Product Type Terminology	C133350	Platelets Washed		
FDA	C133243	SPL Blood Form Product Type Terminology	C133351	Red Blood Cells Deglycerolized		
FDA	C133243	SPL Blood Form Product Type Terminology	C133352	Red Blood Cells Frozen		
FDA	C133243	SPL Blood Form Product Type Terminology	C133353	Red Blood Cells Rejuvenated Frozen		
FDA	C133243	SPL Blood Form Product Type Terminology	C133354	Red Blood Cells Reconstituted		
FDA	C133243	SPL Blood Form Product Type Terminology	C133355	Red Blood Cells Rejuvenated Frozen Deglycerolized		
FDA	C133243	SPL Blood Form Product Type Terminology	C133356	Red Blood Cells Rejuvenated		
FDA	C133243	SPL Blood Form Product Type Terminology	C133357	Red Blood Cells Washed		
FDA	C133243	SPL Blood Form Product Type Terminology	C41067	Whole Blood		
FDA	C133243	SPL Blood Form Product Type Terminology	C89783	Fresh Frozen Plasma		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C133307	Cooperative Association		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C133308	County/Municipal/Hospital Authority		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C133309	Federal (non-military)		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C133310	Corporation (for Profit)		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C133311	Corporation (Non-Profit)		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C133312	Single Proprietorship		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C133313	State		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C133358	U.S. Military		
FDA	C133245	SPL Blood Form Type of Ownership Terminology	C54138	Partnership		
FDA	C117110	SPL Business Entity Qualifier Terminology	C117113	Doing Business As		
FDA	C101885	SPL Business Operation Qualifier Terminology	C101886	Manufactures Non-Generics		
FDA	C101885	SPL Business Operation Qualifier Terminology	C106643	Manufactures human prescription drug products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C111077	Distributes human prescription drug products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C111078	Distributes human over-the-counter drug products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C112087	Intent to compound 506E (drug shortage) drugs		
FDA	C101885	SPL Business Operation Qualifier Terminology	C112091	No intent to compound 506E (drug shortage) drugs		
FDA	C101885	SPL Business Operation Qualifier Terminology	C112092	Compounding from bulk ingredient		
FDA	C101885	SPL Business Operation Qualifier Terminology	C112093	Not compounding from bulk ingredient		
FDA	C101885	SPL Business Operation Qualifier Terminology	C112094	Compounding sterile products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C112095	Not compounding sterile products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C114889	Manufactures animal prescription drug products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C114890	Manufactures veterinary feed directive Type A medicated article drug products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C114891	Manufactures animal over-the-counter drug products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C114892	Manufactures animal over-the-counter Type A medicated article drug products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C123274	Warehouses human prescription drug products		
FDA	C101885	SPL Business Operation Qualifier Terminology	C126091	Transfills Medical Gas		
FDA	C101885	SPL Business Operation Qualifier Terminology	C131708	Manufactures Human Over-the-Counter Drug Products Produced Under a Monograph		
FDA	C101885	SPL Business Operation Qualifier Terminology	C131709	Manufactures Human Over-the-Counter Drug Products Produced Under an Approved Drug Application		
FDA	C101885	SPL Business Operation Qualifier Terminology	C131710	Manufactures Human Over-the-Counter Drug Products Not Produced Under an Approved Application or Under a Monograph		
FDA	C101885	SPL Business Operation Qualifier Terminology	C132491	Contract Manufacturing		
FDA	C73600	SPL Business Operation Terminology	C101509	API/FDF ANALYTICAL TESTING		
FDA	C73600	SPL Business Operation Terminology	C101510	FDF MANUFACTURE		
FDA	C73600	SPL Business Operation Terminology	C101511	CLINICAL BIOEQUIVALENCE OR BIOAVALABILITY STUDY		
FDA	C73600	SPL Business Operation Terminology	C101512	IN VITRO BIOEQUIVALENCE OR BIOANALYTICAL TESTING		
FDA	C73600	SPL Business Operation Terminology	C112113	Human Drug Compounding Outsourcing Facility		
FDA	C73600	SPL Business Operation Terminology	C118411	Wholesale Drug Distributor		
FDA	C73600	SPL Business Operation Terminology	C118412	Third-Party Logistics Provider		
FDA	C73600	SPL Business Operation Terminology	C122061	Outsourcing Animal Drug Compounding		
FDA	C73600	SPL Business Operation Terminology	C125710	Transfill		
FDA	C73600	SPL Business Operation Terminology	C25391	ANALYSIS		
FDA	C73600	SPL Business Operation Terminology	C43360	MANUFACTURE		
FDA	C73600	SPL Business Operation Terminology	C70827	Salvage		
FDA	C73600	SPL Business Operation Terminology	C71586	EXPORT		
FDA	C73600	SPL Business Operation Terminology	C73330	UNITED STATES AGENT		
FDA	C73600	SPL Business Operation Terminology	C73599	IMPORT		
FDA	C73600	SPL Business Operation Terminology	C73606	REPACK		
FDA	C73600	SPL Business Operation Terminology	C73607	RELABEL		
FDA	C73600	SPL Business Operation Terminology	C73608	Distributes drug products under own private label		
FDA	C73600	SPL Business Operation Terminology	C82401	API MANUFACTURE		
FDA	C73600	SPL Business Operation Terminology	C82434	OUTSOURCING HUMAN DRUG COMPOUNDING		
FDA	C73600	SPL Business Operation Terminology	C84382	STERILIZE		
FDA	C73600	SPL Business Operation Terminology	C84386	PARTICLE SIZE REDUCTION		
FDA	C73600	SPL Business Operation Terminology	C84635	MEDICATED ANIMAL FEED MANUFACTURE		
FDA	C73600	SPL Business Operation Terminology	C84731	PACK		
FDA	C73600	SPL Business Operation Terminology	C84732	LABEL		
FDA	C73600	SPL Business Operation Terminology	C91403	POSITRON EMISSION TOMOGRAPHY DRUG PRODUCTION		
FDA	C54453	SPL Color Terminology	C48323	BLACK		
FDA	C54453	SPL Color Terminology	C48324	GRAY		
FDA	C54453	SPL Color Terminology	C48325	WHITE		
FDA	C54453	SPL Color Terminology	C48326	RED		
FDA	C54453	SPL Color Terminology	C48327	PURPLE		
FDA	C54453	SPL Color Terminology	C48328	PINK		
FDA	C54453	SPL Color Terminology	C48329	GREEN		
FDA	C54453	SPL Color Terminology	C48330	YELLOW		
FDA	C54453	SPL Color Terminology	C48331	ORANGE		
FDA	C54453	SPL Color Terminology	C48332	BROWN		
FDA	C54453	SPL Color Terminology	C48333	BLUE		
FDA	C54453	SPL Color Terminology	C48334	TURQUOISE		
FDA	C102833	SPL Combination Product Type Terminology	C102834	Type 1: Convenience Kit or Co-Package		
FDA	C102833	SPL Combination Product Type Terminology	C102835	Type 2: Prefilled Drug Delivery Device/System (syringe, patch, etc.)		
FDA	C102833	SPL Combination Product Type Terminology	C102836	Type 3: Prefilled Biologic Delivery Device/System (syringe, patch, etc.)		
FDA	C102833	SPL Combination Product Type Terminology	C102837	Type 4: Device Coated/Impregnated/Otherwise Combined with Drug		
FDA	C102833	SPL Combination Product Type Terminology	C102838	Type 5: Device Coated or Otherwise Combined with Biologic		
FDA	C102833	SPL Combination Product Type Terminology	C102839	Type 6: Drug/Biologic Combination		
FDA	C102833	SPL Combination Product Type Terminology	C102840	Type 7: Separate Products Requiring Cross Labeling		
FDA	C102833	SPL Combination Product Type Terminology	C102841	Type 8: Possible Combination Based on Cross Labeling of Separate Products (Temporary Type)		
FDA	C102833	SPL Combination Product Type Terminology	C102842	Type 9: Other Type of Part 3 Combination Product (e.g., Drug/Device/Biological Product)		
FDA	C102833	SPL Combination Product Type Terminology	C112160	Type 0: Not a Combination Product		
FDA	C111661	SPL Contributing Factor-General Terminology	C1949	FOOD OR FOOD PRODUCT		
FDA	C54459	SPL DEA Schedule Terminology	C48672	CI		
FDA	C54459	SPL DEA Schedule Terminology	C48675	CII		
FDA	C54459	SPL DEA Schedule Terminology	C48676	CIII		
FDA	C54459	SPL DEA Schedule Terminology	C48677	CIV		
FDA	C54459	SPL DEA Schedule Terminology	C48679	CV		
FDA	C87299	SPL Document Type Terminology	C79163	PROMOTIONAL MATERIALS		
FDA	C54455	SPL Drug Route of Administration Terminology	C132737	Intracanalicular		
FDA	C54455	SPL Drug Route of Administration Terminology	C28161	INTRAMUSCULAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38192	AURICULAR (OTIC)		
FDA	C54455	SPL Drug Route of Administration Terminology	C38193	BUCCAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38194	CONJUNCTIVAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38197	DENTAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38198	SOFT TISSUE		
FDA	C54455	SPL Drug Route of Administration Terminology	C38200	HEMODIALYSIS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38203	IONTOPHORESIS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38205	ENDOCERVICAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38206	ENDOSINUSIAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38207	INTRATHORACIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38208	ENDOTRACHEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38209	ENTERAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38210	EPIDURAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38211	EXTRA-AMNIOTIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38212	EXTRACORPOREAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38215	INFILTRATION		
FDA	C54455	SPL Drug Route of Administration Terminology	C38216	RESPIRATORY (INHALATION)		
FDA	C54455	SPL Drug Route of Administration Terminology	C38217	INTRACORONAL, DENTAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38218	INTRACORONARY		
FDA	C54455	SPL Drug Route of Administration Terminology	C38219	INTERSTITIAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38220	INTRA-ABDOMINAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38221	INTRA-AMNIOTIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38222	INTRA-ARTERIAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38223	INTRA-ARTICULAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38224	INTRABILIARY		
FDA	C54455	SPL Drug Route of Administration Terminology	C38225	INTRABRONCHIAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38226	INTRABURSAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38227	INTRACARDIAC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38228	INTRACARTILAGINOUS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38229	INTRACAUDAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38230	INTRACAVERNOUS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38231	INTRACAVITARY		
FDA	C54455	SPL Drug Route of Administration Terminology	C38232	INTRACEREBRAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38233	INTRACISTERNAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38234	INTRACORNEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38235	INTRACORPORUS CAVERNOSUM		
FDA	C54455	SPL Drug Route of Administration Terminology	C38236	INTRACRANIAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38238	INTRADERMAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38239	INTRADISCAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38240	INTRADUCTAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38241	INTRADUODENAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38242	INTRADURAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38243	INTRAEPIDERMAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38245	INTRAESOPHAGEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38246	INTRAGASTRIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38247	INTRAGINGIVAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38248	INTRAHEPATIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38249	INTRAILEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38250	INTRALESIONAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38251	INTRALUMINAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38252	INTRALYMPHATIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38253	INTRAMEDULLARY		
FDA	C54455	SPL Drug Route of Administration Terminology	C38254	INTRAMENINGEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38255	INTRAOCULAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38256	INTRAOVARIAN		
FDA	C54455	SPL Drug Route of Administration Terminology	C38257	INTRAPERICARDIAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38258	INTRAPERITONEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38259	INTRAPLEURAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38260	INTRAPROSTATIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38261	INTRAPULMONARY		
FDA	C54455	SPL Drug Route of Administration Terminology	C38262	INTRASINAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38263	INTRASPINAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38264	INTRASYNOVIAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38265	INTRATENDINOUS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38266	INTRATESTICULAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38267	INTRATHECAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38268	INTRATUBULAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38269	INTRATUMOR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38270	INTRATYMPANIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38271	URETHRAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38272	INTRAUTERINE		
FDA	C54455	SPL Drug Route of Administration Terminology	C38273	INTRAVASCULAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38274	INTRAVENOUS BOLUS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38276	INTRAVENOUS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38277	INTRAVENTRICULAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38278	INTRAVESICAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38279	INTRAVENOUS DRIP		
FDA	C54455	SPL Drug Route of Administration Terminology	C38280	INTRAVITREAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38281	IRRIGATION		
FDA	C54455	SPL Drug Route of Administration Terminology	C38282	LARYNGEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38283	TRANSMUCOSAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38284	NASAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38285	NASOGASTRIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38286	OCCLUSIVE DRESSING TECHNIQUE		
FDA	C54455	SPL Drug Route of Administration Terminology	C38287	OPHTHALMIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38288	ORAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38289	OROPHARYNGEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38290	OTHER		
FDA	C54455	SPL Drug Route of Administration Terminology	C38291	PARENTERAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38292	PERIARTICULAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38293	PERINEURAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38294	PERIODONTAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38295	RECTAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38296	RETROBULBAR		
FDA	C54455	SPL Drug Route of Administration Terminology	C38297	SUBARACHNOID		
FDA	C54455	SPL Drug Route of Administration Terminology	C38298	SUBCONJUNCTIVAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38299	SUBCUTANEOUS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38300	SUBLINGUAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38301	SUBMUCOSAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38304	TOPICAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38305	TRANSDERMAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38307	TRANSPLACENTAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38308	TRANSTRACHEAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38309	TRANSTYMPANIC		
FDA	C54455	SPL Drug Route of Administration Terminology	C38310	UNASSIGNED		
FDA	C54455	SPL Drug Route of Administration Terminology	C38311	UNKNOWN		
FDA	C54455	SPL Drug Route of Administration Terminology	C38312	URETERAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38313	VAGINAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C38633	ELECTRO-OSMOSIS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38675	CUTANEOUS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38676	PERCUTANEOUS		
FDA	C54455	SPL Drug Route of Administration Terminology	C38677	PERIDURAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C48623	NOT APPLICABLE		
FDA	C54455	SPL Drug Route of Administration Terminology	C65103	SUBGINGIVAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C79137	INTRAMAMMARY		
FDA	C54455	SPL Drug Route of Administration Terminology	C79138	INTRALINGUAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C79139	INTRARUMINAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C79141	INTRANODAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C79142	INTRAOMENTUM		
FDA	C54455	SPL Drug Route of Administration Terminology	C79143	SUBRETINAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C79144	INTRAEPICARDIAL		
FDA	C54455	SPL Drug Route of Administration Terminology	C79145	TRANSENDOCARDIAL		
FDA	C111660	SPL Equivalence Codes Terminology	C64637	SAME		
FDA	C73339	SPL Flavor Terminology	C100097	GINGER		
FDA	C73339	SPL Flavor Terminology	C73360	ALMOND		
FDA	C73339	SPL Flavor Terminology	C73361	ANISE		
FDA	C73339	SPL Flavor Terminology	C73362	APPLE		
FDA	C73339	SPL Flavor Terminology	C73363	APRICOT		
FDA	C73339	SPL Flavor Terminology	C73364	BANANA		
FDA	C73339	SPL Flavor Terminology	C73365	BERRY		
FDA	C73339	SPL Flavor Terminology	C73366	BLACKBERRY		
FDA	C73339	SPL Flavor Terminology	C73367	BLUEBERRY		
FDA	C73339	SPL Flavor Terminology	C73368	BUBBLE GUM		
FDA	C73339	SPL Flavor Terminology	C73369	BURGUNDY		
FDA	C73339	SPL Flavor Terminology	C73370	BUTTER PECAN		
FDA	C73339	SPL Flavor Terminology	C73371	BUTTERMINT		
FDA	C73339	SPL Flavor Terminology	C73372	BUTTERSCOTCH		
FDA	C73339	SPL Flavor Terminology	C73373	CARAMEL		
FDA	C73339	SPL Flavor Terminology	C73374	CHEESE		
FDA	C73339	SPL Flavor Terminology	C73375	CHERRY		
FDA	C73339	SPL Flavor Terminology	C73376	CHOCOLATE		
FDA	C73339	SPL Flavor Terminology	C73377	CINNAMON		
FDA	C73339	SPL Flavor Terminology	C73378	CITRUS		
FDA	C73339	SPL Flavor Terminology	C73379	COCONUT		
FDA	C73339	SPL Flavor Terminology	C73380	COFFEE		
FDA	C73339	SPL Flavor Terminology	C73381	COLA		
FDA	C73339	SPL Flavor Terminology	C73382	COTTON CANDY		
FDA	C73339	SPL Flavor Terminology	C73383	CRANBERRY		
FDA	C73339	SPL Flavor Terminology	C73384	CREME DE MENTHE		
FDA	C73339	SPL Flavor Terminology	C73385	CURACAO		
FDA	C73339	SPL Flavor Terminology	C73386	CUSTARD		
FDA	C73339	SPL Flavor Terminology	C73387	EGG NOG		
FDA	C73339	SPL Flavor Terminology	C73388	FIG		
FDA	C73339	SPL Flavor Terminology	C73389	FRUIT		
FDA	C73339	SPL Flavor Terminology	C73390	FRUIT PUNCH		
FDA	C73339	SPL Flavor Terminology	C73391	GRAPE		
FDA	C73339	SPL Flavor Terminology	C73392	GRAPEFRUIT		
FDA	C73339	SPL Flavor Terminology	C73393	GUARANA		
FDA	C73339	SPL Flavor Terminology	C73394	HONEY		
FDA	C73339	SPL Flavor Terminology	C73395	KIWI		
FDA	C73339	SPL Flavor Terminology	C73396	LEMON		
FDA	C73339	SPL Flavor Terminology	C73397	LICORICE		
FDA	C73339	SPL Flavor Terminology	C73398	LIME		
FDA	C73339	SPL Flavor Terminology	C73399	LIVER		
FDA	C73339	SPL Flavor Terminology	C73400	MANGO		
FDA	C73339	SPL Flavor Terminology	C73402	MEAT		
FDA	C73339	SPL Flavor Terminology	C73403	MENTHOL		
FDA	C73339	SPL Flavor Terminology	C73404	MINT		
FDA	C73339	SPL Flavor Terminology	C73405	ORANGE BANANA		
FDA	C73339	SPL Flavor Terminology	C73406	ORANGE		
FDA	C73339	SPL Flavor Terminology	C73407	PEACH		
FDA	C73339	SPL Flavor Terminology	C73408	PEPPERMINT		
FDA	C73339	SPL Flavor Terminology	C73409	PINEAPPLE		
FDA	C73339	SPL Flavor Terminology	C73410	PLUM		
FDA	C73339	SPL Flavor Terminology	C73411	POMEGRANATE		
FDA	C73339	SPL Flavor Terminology	C73412	RAISIN		
FDA	C73339	SPL Flavor Terminology	C73413	RASPBERRY		
FDA	C73339	SPL Flavor Terminology	C73414	ROOT BEER		
FDA	C73339	SPL Flavor Terminology	C73415	RUM		
FDA	C73339	SPL Flavor Terminology	C73416	SPEARMINT		
FDA	C73339	SPL Flavor Terminology	C73417	STRAWBERRY		
FDA	C73339	SPL Flavor Terminology	C73418	TANGERINE		
FDA	C73339	SPL Flavor Terminology	C73419	TROPICAL FRUIT PUNCH		
FDA	C73339	SPL Flavor Terminology	C73420	TUTTI FRUTTI		
FDA	C73339	SPL Flavor Terminology	C73421	VANILLA		
FDA	C73339	SPL Flavor Terminology	C73422	WALNUT		
FDA	C73339	SPL Flavor Terminology	C73423	WATERMELON		
FDA	C73339	SPL Flavor Terminology	C73424	WINTERGREEN		
FDA	C73339	SPL Flavor Terminology	C73433	MAQUE TREE		
FDA	C73339	SPL Flavor Terminology	C79134	FISH		
FDA	C73339	SPL Flavor Terminology	C82400	MARSHMALLOW		
FDA	C73339	SPL Flavor Terminology	C87298	BOYSENBERRY		
FDA	C73339	SPL Flavor Terminology	C92709	CHICKEN		
FDA	C73339	SPL Flavor Terminology	C92710	MALT		
FDA	C118404	SPL License Disciplinary Action Terminology	C118406	Suspended		
FDA	C118404	SPL License Disciplinary Action Terminology	C118407	Revoked		
FDA	C118404	SPL License Disciplinary Action Terminology	C118408	Active		
FDA	C118404	SPL License Disciplinary Action Terminology	C118471	Resolved		
FDA	C118404	SPL License Disciplinary Action Terminology	C118472	Other		
FDA	C118777	SPL Licensing Terminology	C118779	Licensed		
FDA	C54599	SPL Limitation of Use Terminology	C41332	ADVERSE REACTION		
FDA	C54599	SPL Limitation of Use Terminology	C50646	CONTRAINDICATION		
FDA	C54599	SPL Limitation of Use Terminology	C54346	DOSE MODIFICATION		
FDA	C54599	SPL Limitation of Use Terminology	C54350	SECOND LINE TREATMENT		
FDA	C54599	SPL Limitation of Use Terminology	C54351	USE WITH CAUTION		
FDA	C54599	SPL Limitation of Use Terminology	C54352	LIMITED OR NO INFORMATION		
FDA	C54599	SPL Limitation of Use Terminology	C54708	INTERACTION		
FDA	C54599	SPL Limitation of Use Terminology	C60654	CONDITIONAL APPROVAL		
